All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:50:5
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.156	     0.006	     0.389	     0.419
  0.006640	     0.151	     0.003	     0.426	     0.452
  0.009960	     0.156	     0.015	     0.423	     0.451
  0.013280	     0.142	     0.005	     0.424	     0.447
  0.016600	     0.134	     0.010	     0.414	     0.435
  0.019920	     0.120	     0.008	     0.405	     0.422
  0.023240	     0.139	     0.033	     0.408	     0.432
  0.026560	     0.168	     0.006	     0.412	     0.445
  0.029880	     0.130	     0.005	     0.414	     0.434
  0.033200	     0.139	     0.005	     0.414	     0.437
  0.036520	     0.123	     0.023	     0.391	     0.411
  0.039840	     0.154	     0.002	     0.403	     0.431
  0.043160	     0.155	     0.008	     0.422	     0.450
  0.046480	     0.141	     0.003	     0.374	     0.400
  0.049800	     0.145	    -0.009	     0.408	     0.433
  0.053120	     0.138	    -0.011	     0.397	     0.420
  0.056440	     0.144	    -0.001	     0.419	     0.443
  0.059760	     0.134	    -0.026	     0.420	     0.442
  0.063080	     0.142	     0.019	     0.427	     0.450
  0.066400	     0.133	     0.002	     0.406	     0.427
  0.069720	     0.153	     0.011	     0.439	     0.465
  0.073040	     0.121	     0.008	     0.430	     0.447
  0.076360	     0.124	     0.011	     0.399	     0.418
  0.079680	     0.126	    -0.005	     0.426	     0.444
  0.083000	     0.130	    -0.001	     0.413	     0.433
  0.086320	     0.129	     0.017	     0.414	     0.434
  0.089640	     0.129	     0.016	     0.408	     0.428
  0.092960	     0.145	     0.006	     0.414	     0.439
  0.096280	     0.147	    -0.007	     0.420	     0.445
  0.099600	     0.136	     0.008	     0.434	     0.455
  0.102920	     0.142	    -0.003	     0.415	     0.439
  0.106240	     0.121	     0.017	     0.402	     0.420
  0.109560	     0.144	     0.007	     0.394	     0.420
  0.112880	     0.145	     0.002	     0.426	     0.450
  0.116200	     0.141	     0.008	     0.416	     0.439
  0.119520	     0.117	     0.019	     0.390	     0.408
  0.122840	     0.129	     0.026	     0.415	     0.435
  0.126160	     0.141	     0.039	     0.388	     0.415
  0.129480	     0.136	    -0.007	     0.404	     0.426
  0.132800	     0.141	     0.003	     0.420	     0.443
  0.136120	     0.104	    -0.020	     0.419	     0.432
  0.139440	     0.144	    -0.024	     0.416	     0.441
  0.142760	     0.133	     0.002	     0.433	     0.453
  0.146080	     0.140	     0.018	     0.394	     0.419
  0.149400	     0.114	     0.014	     0.388	     0.405
  0.152720	     0.132	    -0.003	     0.398	     0.419
  0.156040	     0.135	     0.021	     0.427	     0.448
  0.159360	     0.129	     0.013	     0.421	     0.441
  0.162680	     0.131	     0.012	     0.395	     0.416
  0.166000	     0.141	     0.008	     0.409	     0.433
  0.169320	     0.105	     0.016	     0.406	     0.420
  0.172640	     0.133	     0.010	     0.422	     0.443
  0.175960	     0.140	     0.037	     0.403	     0.428
  0.179280	     0.129	     0.008	     0.398	     0.418
  0.182600	     0.145	    -0.002	     0.397	     0.423
  0.185920	     0.123	     0.019	     0.378	     0.398
  0.189240	     0.162	    -0.004	     0.391	     0.423
  0.192560	     0.146	     0.010	     0.393	     0.419
  0.195880	     0.126	     0.022	     0.418	     0.437
  0.199200	     0.153	     0.023	     0.378	     0.408
  0.202520	     0.131	     0.016	     0.416	     0.436
  0.205840	     0.134	    -0.009	     0.411	     0.432
  0.209160	     0.127	     0.007	     0.388	     0.408
  0.212480	     0.130	     0.024	     0.397	     0.418
  0.215800	     0.150	    -0.014	     0.421	     0.447
  0.219120	     0.119	     0.003	     0.400	     0.417
  0.222440	     0.151	     0.021	     0.417	     0.444
  0.225760	     0.147	    -0.012	     0.417	     0.442
  0.229080	     0.155	     0.028	     0.418	     0.447
  0.232400	     0.138	    -0.001	     0.399	     0.422
  0.235720	     0.177	     0.016	     0.419	     0.455
  0.239040	     0.167	     0.003	     0.406	     0.439
  0.242360	     0.130	    -0.002	     0.405	     0.425
  0.245680	     0.157	     0.030	     0.396	     0.427
  0.249000	     0.141	    -0.017	     0.402	     0.426
  0.252320	     0.157	     0.011	     0.420	     0.449
  0.255640	     0.154	     0.006	     0.384	     0.414
  0.258960	     0.139	     0.010	     0.404	     0.427
  0.262280	     0.155	     0.024	     0.423	     0.451
  0.265600	     0.162	    -0.003	     0.424	     0.454
  0.268920	     0.155	     0.027	     0.385	     0.416
  0.272240	     0.150	    -0.010	     0.423	     0.449
  0.275560	     0.145	     0.029	     0.403	     0.429
  0.278880	     0.137	    -0.010	     0.401	     0.424
  0.282200	     0.178	     0.034	     0.406	     0.445
  0.285520	     0.142	    -0.014	     0.383	     0.409
  0.288840	     0.141	     0.003	     0.421	     0.444
  0.292160	     0.143	     0.034	     0.449	     0.472
  0.295480	     0.139	    -0.001	     0.417	     0.440
  0.298800	     0.146	     0.008	     0.398	     0.424
  0.302120	     0.149	    -0.001	     0.377	     0.405
  0.305440	     0.126	     0.016	     0.406	     0.425
  0.308760	     0.123	     0.007	     0.391	     0.410
  0.312080	     0.152	     0.000	     0.409	     0.436
  0.315400	     0.148	     0.008	     0.390	     0.417
  0.318720	     0.141	     0.018	     0.380	     0.406
  0.322040	     0.142	     0.021	     0.425	     0.449
  0.325360	     0.147	     0.040	     0.416	     0.443
  0.328680	     0.127	     0.028	     0.421	     0.441
  0.332000	     0.127	     0.023	     0.408	     0.428
  0.335320	     0.142	     0.014	     0.387	     0.412
  0.338640	     0.167	     0.015	     0.418	     0.450
  0.341960	     0.140	    -0.012	     0.400	     0.424
  0.345280	     0.135	     0.012	     0.405	     0.427
  0.348600	     0.131	     0.003	     0.402	     0.423
  0.351920	     0.133	     0.012	     0.408	     0.429
  0.355240	     0.179	     0.017	     0.395	     0.434
  0.358560	     0.125	     0.009	     0.432	     0.450
  0.361880	     0.142	     0.023	     0.378	     0.404
  0.365200	     0.159	     0.004	     0.388	     0.419
  0.368520	     0.125	    -0.006	     0.392	     0.411
  0.371840	     0.145	     0.019	     0.398	     0.424
  0.375160	     0.155	     0.000	     0.422	     0.450
  0.378480	     0.129	     0.021	     0.405	     0.426
  0.381800	     0.132	     0.023	     0.433	     0.453
  0.385120	     0.171	    -0.003	     0.382	     0.419
  0.388440	     0.153	    -0.001	     0.426	     0.453
  0.391760	     0.150	     0.016	     0.402	     0.429
  0.395080	     0.147	    -0.010	     0.443	     0.467
  0.398400	     0.152	     0.010	     0.433	     0.459
  0.401720	     0.134	     0.028	     0.409	     0.431
  0.405040	     0.152	     0.006	     0.440	     0.466
  0.408360	     0.165	    -0.001	     0.419	     0.450
  0.411680	     0.139	     0.006	     0.395	     0.419
  0.415000	     0.185	     0.022	     0.392	     0.434
  0.418320	     0.110	     0.008	     0.427	     0.441
  0.421640	     0.145	     0.016	     0.400	     0.426
  0.424960	     0.136	     0.023	     0.416	     0.438
  0.428280	     0.153	     0.012	     0.439	     0.465
  0.431600	     0.112	     0.052	     0.423	     0.441
  0.434920	     0.145	     0.013	     0.390	     0.416
  0.438240	     0.141	    -0.003	     0.430	     0.453
  0.441560	     0.128	    -0.001	     0.417	     0.436
  0.444880	     0.146	     0.024	     0.409	     0.435
  0.448200	     0.146	     0.010	     0.408	     0.433
  0.451520	     0.150	     0.014	     0.443	     0.468
  0.454840	     0.152	     0.024	     0.403	     0.431
  0.458160	     0.170	     0.007	     0.426	     0.459
  0.461480	     0.157	     0.017	     0.424	     0.452
  0.464800	     0.129	     0.002	     0.429	     0.448
  0.468120	     0.130	    -0.017	     0.420	     0.440
  0.471440	     0.139	     0.006	     0.433	     0.455
  0.474760	     0.152	     0.001	     0.413	     0.440
  0.478080	     0.143	    -0.002	     0.417	     0.441
  0.481400	     0.150	     0.016	     0.427	     0.453
  0.484720	     0.158	     0.021	     0.402	     0.432
  0.488040	     0.159	     0.016	     0.414	     0.444
  0.491360	     0.116	     0.018	     0.428	     0.444
  0.494680	     0.141	     0.023	     0.434	     0.457
  0.498000	     0.135	    -0.010	     0.403	     0.425
  0.501320	     0.136	     0.008	     0.417	     0.439
  0.504640	     0.121	     0.006	     0.427	     0.444
  0.507960	     0.126	    -0.010	     0.412	     0.431
  0.511280	     0.132	     0.010	     0.425	     0.445
  0.514600	     0.122	     0.002	     0.388	     0.407
  0.517920	     0.125	     0.008	     0.425	     0.443
  0.521240	     0.119	     0.026	     0.403	     0.421
  0.524560	     0.127	     0.022	     0.400	     0.420
  0.527880	     0.120	     0.003	     0.420	     0.437
  0.531200	     0.133	    -0.010	     0.409	     0.430
  0.534520	     0.146	     0.005	     0.439	     0.463
  0.537840	     0.131	     0.023	     0.408	     0.429
  0.541160	     0.118	     0.030	     0.390	     0.409
  0.544480	     0.135	    -0.007	     0.411	     0.433
  0.547800	     0.146	     0.016	     0.423	     0.448
  0.551120	     0.132	    -0.019	     0.409	     0.430
  0.554440	     0.131	    -0.010	     0.394	     0.415
  0.557760	     0.146	    -0.009	     0.394	     0.420
  0.561080	     0.128	     0.022	     0.386	     0.407
  0.564400	     0.126	    -0.005	     0.403	     0.422
  0.567720	     0.131	     0.005	     0.398	     0.419
  0.571040	     0.134	    -0.006	     0.406	     0.428
  0.574360	     0.135	     0.005	     0.420	     0.441
  0.577680	     0.143	     0.001	     0.420	     0.444
  0.581000	     0.131	     0.011	     0.393	     0.414
  0.584320	     0.152	    -0.009	     0.414	     0.441
  0.587640	     0.162	     0.002	     0.426	     0.456
  0.590960	     0.129	     0.028	     0.400	     0.421
  0.594280	     0.127	     0.031	     0.426	     0.446
  0.597600	     0.115	     0.010	     0.412	     0.428
  0.600920	     0.130	     0.002	     0.445	     0.464
  0.604240	     0.135	     0.027	     0.421	     0.443
  0.607560	     0.130	    -0.004	     0.413	     0.433
  0.610880	     0.111	     0.018	     0.433	     0.447
  0.614200	     0.112	     0.017	     0.413	     0.428
  0.617520	     0.137	    -0.003	     0.430	     0.451
  0.620840	     0.130	     0.010	     0.388	     0.409
  0.624160	     0.146	    -0.007	     0.419	     0.444
  0.627480	     0.107	     0.020	     0.403	     0.417
  0.630800	     0.120	     0.008	     0.420	     0.437
  0.634120	     0.133	     0.000	     0.399	     0.421
  0.637440	     0.151	    -0.005	     0.417	     0.444
  0.640760	     0.124	     0.027	     0.406	     0.425
  0.644080	     0.117	     0.010	     0.418	     0.434
  0.647400	     0.123	     0.006	     0.399	     0.418
  0.650720	     0.132	    -0.002	     0.424	     0.444
  0.654040	     0.128	    -0.011	     0.420	     0.439
  0.657360	     0.159	    -0.010	     0.424	     0.453
  0.660680	     0.126	    -0.008	     0.394	     0.414
  0.664000	     0.134	     0.013	     0.413	     0.434
  0.667320	     0.095	    -0.009	     0.397	     0.408
  0.670640	     0.137	     0.021	     0.377	     0.402
  0.673960	     0.148	     0.002	     0.418	     0.443
  0.677280	     0.139	    -0.005	     0.435	     0.457
  0.680600	     0.135	     0.059	     0.425	     0.450
  0.683920	     0.133	     0.010	     0.431	     0.451
  0.687240	     0.146	     0.033	     0.416	     0.442
  0.690560	     0.137	     0.008	     0.412	     0.434
  0.693880	     0.124	     0.028	     0.397	     0.417
  0.697200	     0.157	    -0.009	     0.411	     0.440
  0.700520	     0.134	     0.018	     0.408	     0.430
  0.703840	     0.131	     0.033	     0.416	     0.437
  0.707160	     0.099	     0.004	     0.426	     0.437
  0.710480	     0.135	     0.010	     0.402	     0.424
  0.713800	     0.140	     0.006	     0.400	     0.424
  0.717120	     0.160	    -0.001	     0.428	     0.457
  0.720440	     0.134	     0.002	     0.412	     0.433
  0.723760	     0.162	    -0.002	     0.428	     0.458
  0.727080	     0.140	    -0.007	     0.415	     0.438
  0.730400	     0.134	     0.020	     0.434	     0.455
  0.733720	     0.126	     0.003	     0.436	     0.454
  0.737040	     0.119	     0.014	     0.414	     0.431
  0.740360	     0.126	     0.027	     0.415	     0.435
  0.743680	     0.133	    -0.014	     0.424	     0.445
  0.747000	     0.132	    -0.008	     0.420	     0.440
  0.750320	     0.134	     0.021	     0.424	     0.445
  0.753640	     0.122	     0.026	     0.429	     0.447
  0.756960	     0.141	     0.012	     0.427	     0.450
  0.760280	     0.148	    -0.006	     0.406	     0.432
  0.763600	     0.141	     0.008	     0.421	     0.444
  0.766920	     0.126	     0.013	     0.413	     0.432
  0.770240	     0.153	     0.014	     0.417	     0.444
  0.773560	     0.158	     0.022	     0.433	     0.461
  0.776880	     0.115	     0.000	     0.426	     0.441
  0.780200	     0.125	    -0.010	     0.433	     0.451
  0.783520	     0.141	     0.013	     0.421	     0.444
  0.786840	     0.125	     0.005	     0.433	     0.451
  0.790160	     0.123	    -0.007	     0.418	     0.436
  0.793480	     0.151	     0.014	     0.413	     0.440
  0.796800	     0.138	     0.023	     0.412	     0.435
  0.800120	     0.121	     0.008	     0.397	     0.415
  0.803440	     0.122	     0.005	     0.400	     0.418
  0.806760	     0.130	     0.032	     0.400	     0.422
  0.810080	     0.127	     0.020	     0.415	     0.434
  0.813400	     0.106	     0.019	     0.414	     0.428
  0.816720	     0.148	    -0.023	     0.414	     0.440
  0.820040	     0.118	     0.001	     0.462	     0.477
  0.823360	     0.119	     0.010	     0.414	     0.431
  0.826680	     0.118	     0.033	     0.440	     0.457
  0.830000	     0.132	     0.014	     0.419	     0.440
  0.833320	     0.138	    -0.016	     0.406	     0.429
  0.836640	     0.134	    -0.015	     0.421	     0.442
  0.839960	     0.141	    -0.010	     0.437	     0.459
  0.843280	     0.116	    -0.011	     0.423	     0.439
  0.846600	     0.127	     0.027	     0.408	     0.428
  0.849920	     0.108	     0.005	     0.417	     0.431
  0.853240	     0.146	     0.003	     0.441	     0.465
  0.856560	     0.126	     0.004	     0.421	     0.439
  0.859880	     0.128	    -0.006	     0.437	     0.455
  0.863200	     0.150	     0.021	     0.427	     0.453
  0.866520	     0.138	     0.020	     0.400	     0.424
  0.869840	     0.125	     0.010	     0.403	     0.422
  0.873160	     0.113	    -0.004	     0.391	     0.407
  0.876480	     0.154	     0.019	     0.424	     0.452
  0.879800	     0.121	     0.017	     0.399	     0.417
  0.883120	     0.130	     0.017	     0.407	     0.428
  0.886440	     0.147	    -0.001	     0.392	     0.419
  0.889760	     0.126	     0.017	     0.394	     0.414
  0.893080	     0.108	     0.019	     0.413	     0.427
  0.896400	     0.134	     0.021	     0.416	     0.438
  0.899720	     0.133	     0.008	     0.418	     0.439
  0.903040	     0.139	     0.016	     0.436	     0.458
  0.906360	     0.131	    -0.001	     0.413	     0.433
  0.909680	     0.136	     0.003	     0.418	     0.440
  0.913000	     0.148	     0.016	     0.430	     0.455
  0.916320	     0.151	     0.030	     0.399	     0.428
  0.919640	     0.138	     0.025	     0.413	     0.436
  0.922960	     0.146	     0.002	     0.431	     0.455
  0.926280	     0.138	     0.022	     0.414	     0.437
  0.929600	     0.129	    -0.006	     0.432	     0.451
  0.932920	     0.125	     0.017	     0.418	     0.437
  0.936240	     0.126	     0.025	     0.405	     0.425
  0.939560	     0.144	     0.003	     0.418	     0.442
  0.942880	     0.144	     0.014	     0.399	     0.424
  0.946200	     0.105	    -0.001	     0.437	     0.449
  0.949520	     0.119	     0.000	     0.375	     0.393
  0.952840	     0.130	     0.015	     0.403	     0.424
  0.956160	     0.091	     0.013	     0.424	     0.434
  0.959480	     0.120	    -0.017	     0.394	     0.412
  0.962800	     0.129	    -0.020	     0.427	     0.447
  0.966120	     0.144	    -0.017	     0.405	     0.430
  0.969440	     0.130	    -0.001	     0.390	     0.411
  0.972760	     0.136	    -0.014	     0.411	     0.433
  0.976080	     0.129	     0.007	     0.439	     0.458
  0.979400	     0.153	    -0.003	     0.391	     0.420
  0.982720	     0.103	     0.030	     0.417	     0.431
  0.986040	     0.136	    -0.007	     0.414	     0.436
  0.989360	     0.150	     0.004	     0.420	     0.446
  0.992680	     0.101	    -0.007	     0.403	     0.416
  0.996000	     0.110	     0.016	     0.436	     0.450
  0.999320	     0.099	    -0.001	     0.415	     0.427
  1.002640	     0.116	     0.031	     0.423	     0.440
  1.005960	     0.116	    -0.011	     0.438	     0.453
  1.009280	     0.128	    -0.012	     0.399	     0.419
  1.012600	     0.105	     0.016	     0.397	     0.411
  1.015920	     0.134	    -0.006	     0.386	     0.409
  1.019240	     0.120	     0.012	     0.412	     0.429
  1.022560	     0.149	     0.001	     0.421	     0.447
  1.025880	     0.152	     0.001	     0.372	     0.402
  1.029200	     0.117	    -0.001	     0.428	     0.444
  1.032520	     0.152	     0.016	     0.424	     0.451
  1.035840	     0.149	     0.028	     0.414	     0.441
  1.039160	     0.137	     0.001	     0.411	     0.433
  1.042480	     0.142	    -0.014	     0.406	     0.430
  1.045800	     0.119	     0.028	     0.417	     0.435
  1.049120	     0.112	     0.010	     0.399	     0.415
  1.052440	     0.133	     0.001	     0.441	     0.461
  1.055760	     0.137	    -0.010	     0.415	     0.437
  1.059080	     0.165	     0.012	     0.391	     0.425
  1.062400	     0.150	    -0.025	     0.427	     0.453
