All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:45:48
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.146	     0.005	     0.233	     0.275
  0.006640	     0.151	    -0.013	     0.225	     0.271
  0.009960	     0.139	    -0.023	     0.216	     0.258
  0.013280	     0.144	     0.003	     0.207	     0.252
  0.016600	     0.151	    -0.001	     0.223	     0.269
  0.019920	     0.144	    -0.029	     0.234	     0.276
  0.023240	     0.170	     0.006	     0.193	     0.257
  0.026560	     0.152	    -0.014	     0.234	     0.279
  0.029880	     0.122	     0.010	     0.238	     0.268
  0.033200	     0.146	     0.036	     0.233	     0.277
  0.036520	     0.189	     0.016	     0.250	     0.314
  0.039840	     0.152	    -0.003	     0.230	     0.276
  0.043160	     0.160	    -0.003	     0.199	     0.255
  0.046480	     0.156	    -0.034	     0.197	     0.254
  0.049800	     0.146	    -0.006	     0.237	     0.278
  0.053120	     0.146	     0.001	     0.224	     0.267
  0.056440	     0.123	    -0.009	     0.236	     0.266
  0.059760	     0.160	     0.007	     0.230	     0.280
  0.063080	     0.146	    -0.024	     0.228	     0.272
  0.066400	     0.151	    -0.015	     0.223	     0.270
  0.069720	     0.160	     0.012	     0.242	     0.290
  0.073040	     0.145	     0.016	     0.240	     0.281
  0.076360	     0.148	     0.006	     0.200	     0.249
  0.079680	     0.146	    -0.018	     0.216	     0.261
  0.083000	     0.139	     0.000	     0.200	     0.244
  0.086320	     0.148	    -0.012	     0.212	     0.259
  0.089640	     0.117	    -0.004	     0.231	     0.259
  0.092960	     0.141	    -0.021	     0.234	     0.274
  0.096280	     0.134	     0.014	     0.249	     0.283
  0.099600	     0.142	    -0.010	     0.236	     0.276
  0.102920	     0.152	    -0.001	     0.219	     0.267
  0.106240	     0.139	    -0.010	     0.222	     0.262
  0.109560	     0.153	    -0.003	     0.237	     0.282
  0.112880	     0.153	     0.005	     0.221	     0.269
  0.116200	     0.143	    -0.007	     0.245	     0.284
  0.119520	     0.162	     0.003	     0.230	     0.281
  0.122840	     0.151	    -0.014	     0.215	     0.263
  0.126160	     0.126	    -0.001	     0.207	     0.242
  0.129480	     0.141	    -0.003	     0.215	     0.257
  0.132800	     0.151	     0.000	     0.205	     0.255
  0.136120	     0.110	    -0.003	     0.232	     0.257
  0.139440	     0.144	    -0.027	     0.237	     0.279
  0.142760	     0.149	    -0.012	     0.222	     0.268
  0.146080	     0.155	    -0.003	     0.209	     0.260
  0.149400	     0.122	    -0.007	     0.191	     0.227
  0.152720	     0.160	    -0.005	     0.236	     0.285
  0.156040	     0.146	     0.023	     0.233	     0.276
  0.159360	     0.108	    -0.007	     0.197	     0.225
  0.162680	     0.131	     0.009	     0.250	     0.282
  0.166000	     0.141	    -0.012	     0.211	     0.254
  0.169320	     0.152	     0.017	     0.244	     0.288
  0.172640	     0.130	    -0.008	     0.211	     0.248
  0.175960	     0.129	     0.004	     0.215	     0.251
  0.179280	     0.146	     0.005	     0.236	     0.278
  0.182600	     0.124	    -0.014	     0.231	     0.263
  0.185920	     0.152	    -0.013	     0.237	     0.282
  0.189240	     0.135	    -0.014	     0.239	     0.275
  0.192560	     0.156	    -0.015	     0.192	     0.248
  0.195880	     0.127	    -0.002	     0.214	     0.249
  0.199200	     0.126	     0.004	     0.207	     0.242
  0.202520	     0.130	    -0.034	     0.233	     0.269
  0.205840	     0.135	    -0.003	     0.232	     0.268
  0.209160	     0.135	    -0.023	     0.217	     0.257
  0.212480	     0.134	     0.012	     0.243	     0.278
  0.215800	     0.140	    -0.022	     0.230	     0.270
  0.219120	     0.146	     0.002	     0.225	     0.268
  0.222440	     0.140	    -0.003	     0.216	     0.257
  0.225760	     0.152	     0.015	     0.241	     0.285
  0.229080	     0.137	    -0.007	     0.262	     0.296
  0.232400	     0.126	    -0.008	     0.221	     0.255
  0.235720	     0.109	     0.044	     0.250	     0.276
  0.239040	     0.130	    -0.023	     0.222	     0.258
  0.242360	     0.132	    -0.037	     0.258	     0.292
  0.245680	     0.135	    -0.002	     0.191	     0.234
  0.249000	     0.146	    -0.003	     0.230	     0.272
  0.252320	     0.124	    -0.001	     0.226	     0.258
  0.255640	     0.149	     0.021	     0.235	     0.279
  0.258960	     0.149	     0.001	     0.207	     0.255
  0.262280	     0.148	     0.000	     0.214	     0.260
  0.265600	     0.124	     0.005	     0.206	     0.240
  0.268920	     0.151	    -0.004	     0.213	     0.261
  0.272240	     0.130	    -0.006	     0.220	     0.256
  0.275560	     0.128	    -0.012	     0.217	     0.252
  0.278880	     0.152	    -0.012	     0.209	     0.259
  0.282200	     0.156	    -0.023	     0.220	     0.271
  0.285520	     0.114	    -0.003	     0.219	     0.247
  0.288840	     0.134	     0.008	     0.239	     0.274
  0.292160	     0.158	     0.008	     0.215	     0.267
  0.295480	     0.151	    -0.009	     0.237	     0.281
  0.298800	     0.134	    -0.020	     0.219	     0.258
  0.302120	     0.127	    -0.024	     0.217	     0.253
  0.305440	     0.141	     0.001	     0.257	     0.293
  0.308760	     0.125	     0.018	     0.230	     0.262
  0.312080	     0.156	     0.021	     0.206	     0.259
  0.315400	     0.148	     0.008	     0.210	     0.257
  0.318720	     0.159	     0.030	     0.213	     0.267
  0.322040	     0.136	     0.001	     0.212	     0.252
  0.325360	     0.112	     0.012	     0.217	     0.244
  0.328680	     0.132	    -0.008	     0.203	     0.242
  0.332000	     0.135	     0.026	     0.214	     0.254
  0.335320	     0.154	     0.012	     0.234	     0.280
  0.338640	     0.151	     0.001	     0.252	     0.294
  0.341960	     0.149	    -0.015	     0.224	     0.269
  0.345280	     0.129	     0.024	     0.223	     0.259
  0.348600	     0.140	     0.006	     0.215	     0.257
  0.351920	     0.148	     0.008	     0.216	     0.262
  0.355240	     0.138	    -0.007	     0.231	     0.269
  0.358560	     0.124	     0.001	     0.207	     0.241
  0.361880	     0.112	     0.001	     0.230	     0.256
  0.365200	     0.139	    -0.001	     0.235	     0.273
  0.368520	     0.153	     0.016	     0.225	     0.273
  0.371840	     0.152	     0.002	     0.228	     0.274
  0.375160	     0.128	    -0.018	     0.222	     0.257
  0.378480	     0.111	    -0.005	     0.218	     0.245
  0.381800	     0.143	     0.010	     0.252	     0.290
  0.385120	     0.150	     0.025	     0.213	     0.262
  0.388440	     0.131	     0.023	     0.221	     0.258
  0.391760	     0.120	     0.005	     0.222	     0.252
  0.395080	     0.148	    -0.015	     0.229	     0.273
  0.398400	     0.153	     0.012	     0.224	     0.272
  0.401720	     0.120	     0.001	     0.227	     0.257
  0.405040	     0.130	    -0.003	     0.252	     0.284
  0.408360	     0.133	     0.018	     0.234	     0.270
  0.411680	     0.124	    -0.027	     0.233	     0.265
  0.415000	     0.138	     0.002	     0.246	     0.282
  0.418320	     0.135	    -0.017	     0.244	     0.279
  0.421640	     0.126	     0.001	     0.223	     0.256
  0.424960	     0.139	     0.021	     0.224	     0.264
  0.428280	     0.149	    -0.004	     0.215	     0.262
  0.431600	     0.140	     0.006	     0.242	     0.280
  0.434920	     0.154	    -0.021	     0.237	     0.283
  0.438240	     0.148	    -0.035	     0.224	     0.271
  0.441560	     0.154	     0.016	     0.241	     0.286
  0.444880	     0.137	     0.006	     0.243	     0.279
  0.448200	     0.133	    -0.010	     0.215	     0.253
  0.451520	     0.139	    -0.004	     0.247	     0.283
  0.454840	     0.163	     0.001	     0.234	     0.285
  0.458160	     0.148	     0.018	     0.237	     0.280
  0.461480	     0.145	    -0.009	     0.225	     0.268
  0.464800	     0.139	     0.006	     0.240	     0.277
  0.468120	     0.120	    -0.004	     0.217	     0.248
  0.471440	     0.135	     0.003	     0.225	     0.262
  0.474760	     0.119	    -0.014	     0.217	     0.248
  0.478080	     0.137	     0.023	     0.225	     0.264
  0.481400	     0.125	     0.006	     0.225	     0.257
  0.484720	     0.106	     0.016	     0.233	     0.256
  0.488040	     0.124	     0.019	     0.218	     0.252
  0.491360	     0.159	    -0.027	     0.228	     0.279
  0.494680	     0.142	    -0.017	     0.229	     0.270
  0.498000	     0.111	     0.002	     0.217	     0.244
  0.501320	     0.148	     0.011	     0.224	     0.269
  0.504640	     0.149	    -0.011	     0.216	     0.263
  0.507960	     0.157	     0.012	     0.224	     0.274
  0.511280	     0.165	    -0.006	     0.204	     0.262
  0.514600	     0.157	    -0.030	     0.224	     0.275
  0.517920	     0.173	     0.016	     0.227	     0.286
  0.521240	     0.164	     0.004	     0.219	     0.274
  0.524560	     0.140	    -0.015	     0.231	     0.271
  0.527880	     0.165	    -0.011	     0.228	     0.282
  0.531200	     0.126	    -0.001	     0.239	     0.270
  0.534520	     0.142	     0.015	     0.216	     0.259
  0.537840	     0.155	    -0.001	     0.225	     0.273
  0.541160	     0.117	     0.016	     0.227	     0.256
  0.544480	     0.149	    -0.004	     0.229	     0.273
  0.547800	     0.141	    -0.010	     0.230	     0.270
  0.551120	     0.122	    -0.010	     0.194	     0.229
  0.554440	     0.145	    -0.010	     0.216	     0.260
  0.557760	     0.157	    -0.006	     0.211	     0.263
  0.561080	     0.142	     0.007	     0.208	     0.252
  0.564400	     0.138	    -0.011	     0.236	     0.274
  0.567720	     0.131	    -0.023	     0.221	     0.258
  0.571040	     0.153	     0.003	     0.234	     0.280
  0.574360	     0.127	     0.023	     0.212	     0.248
  0.577680	     0.140	     0.001	     0.225	     0.265
  0.581000	     0.155	    -0.026	     0.222	     0.272
  0.584320	     0.139	     0.004	     0.218	     0.259
  0.587640	     0.140	    -0.022	     0.231	     0.271
  0.590960	     0.123	    -0.003	     0.233	     0.263
  0.594280	     0.118	    -0.002	     0.240	     0.267
  0.597600	     0.125	     0.016	     0.207	     0.242
  0.600920	     0.128	    -0.006	     0.205	     0.242
  0.604240	     0.119	    -0.020	     0.227	     0.257
  0.607560	     0.146	     0.000	     0.216	     0.261
  0.610880	     0.146	    -0.012	     0.224	     0.268
  0.614200	     0.140	     0.009	     0.225	     0.265
  0.617520	     0.134	    -0.012	     0.199	     0.240
  0.620840	     0.153	    -0.006	     0.254	     0.297
  0.624160	     0.141	     0.014	     0.224	     0.265
  0.627480	     0.134	     0.005	     0.219	     0.257
  0.630800	     0.112	    -0.004	     0.224	     0.250
  0.634120	     0.139	    -0.002	     0.232	     0.270
  0.637440	     0.125	    -0.028	     0.203	     0.240
  0.640760	     0.155	    -0.010	     0.228	     0.276
  0.644080	     0.144	     0.006	     0.212	     0.256
  0.647400	     0.142	     0.002	     0.223	     0.264
  0.650720	     0.170	     0.013	     0.224	     0.282
  0.654040	     0.152	     0.009	     0.249	     0.292
  0.657360	     0.152	    -0.015	     0.219	     0.267
  0.660680	     0.149	     0.004	     0.212	     0.259
  0.664000	     0.149	     0.017	     0.242	     0.285
  0.667320	     0.151	    -0.009	     0.215	     0.263
  0.670640	     0.135	    -0.006	     0.215	     0.254
  0.673960	     0.144	     0.019	     0.222	     0.265
  0.677280	     0.130	    -0.006	     0.240	     0.273
  0.680600	     0.144	    -0.007	     0.204	     0.250
  0.683920	     0.151	     0.012	     0.212	     0.261
  0.687240	     0.151	    -0.010	     0.226	     0.272
  0.690560	     0.164	    -0.006	     0.225	     0.278
  0.693880	     0.154	    -0.034	     0.200	     0.255
  0.697200	     0.163	    -0.022	     0.195	     0.255
  0.700520	     0.173	     0.002	     0.223	     0.282
  0.703840	     0.172	     0.021	     0.216	     0.277
  0.707160	     0.126	    -0.001	     0.235	     0.267
  0.710480	     0.141	    -0.012	     0.222	     0.263
  0.713800	     0.136	    -0.001	     0.227	     0.265
  0.717120	     0.159	    -0.004	     0.233	     0.282
  0.720440	     0.142	     0.014	     0.221	     0.263
  0.723760	     0.156	    -0.001	     0.230	     0.278
  0.727080	     0.151	     0.020	     0.248	     0.291
  0.730400	     0.166	     0.006	     0.191	     0.253
  0.733720	     0.152	    -0.020	     0.202	     0.254
  0.737040	     0.157	    -0.005	     0.239	     0.286
  0.740360	     0.144	    -0.009	     0.230	     0.272
  0.743680	     0.168	     0.015	     0.236	     0.290
  0.747000	     0.164	    -0.005	     0.205	     0.263
  0.750320	     0.141	    -0.009	     0.215	     0.257
  0.753640	     0.157	    -0.009	     0.226	     0.275
  0.756960	     0.138	     0.007	     0.218	     0.258
  0.760280	     0.152	    -0.006	     0.222	     0.269
  0.763600	     0.146	    -0.014	     0.236	     0.278
  0.766920	     0.166	    -0.018	     0.237	     0.290
  0.770240	     0.144	     0.014	     0.232	     0.273
  0.773560	     0.166	     0.003	     0.200	     0.260
