All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:55:49
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.141	    -0.020	    -0.020	     0.144
  0.006640	     0.161	    -0.029	    -0.011	     0.164
  0.009960	     0.143	    -0.020	    -0.012	     0.145
  0.013280	     0.155	    -0.025	    -0.025	     0.159
  0.016600	     0.137	     0.001	    -0.015	     0.138
  0.019920	     0.126	     0.014	    -0.044	     0.134
  0.023240	     0.119	    -0.025	    -0.040	     0.128
  0.026560	     0.152	    -0.027	    -0.024	     0.156
  0.029880	     0.129	    -0.006	    -0.047	     0.137
  0.033200	     0.162	    -0.009	    -0.041	     0.167
  0.036520	     0.139	     0.006	    -0.002	     0.139
  0.039840	     0.168	    -0.022	    -0.014	     0.170
  0.043160	     0.119	    -0.037	    -0.011	     0.125
  0.046480	     0.149	    -0.026	    -0.032	     0.155
  0.049800	     0.150	     0.001	     0.003	     0.150
  0.053120	     0.155	    -0.006	    -0.056	     0.165
  0.056440	     0.140	    -0.011	    -0.011	     0.141
  0.059760	     0.129	    -0.009	    -0.006	     0.129
  0.063080	     0.148	    -0.040	    -0.025	     0.155
  0.066400	     0.149	    -0.005	    -0.025	     0.151
  0.069720	     0.142	    -0.023	    -0.012	     0.144
  0.073040	     0.144	    -0.026	    -0.022	     0.148
  0.076360	     0.137	     0.002	    -0.007	     0.137
  0.079680	     0.144	    -0.017	     0.006	     0.145
  0.083000	     0.124	    -0.016	    -0.033	     0.129
  0.086320	     0.139	    -0.024	    -0.024	     0.143
  0.089640	     0.132	    -0.018	    -0.020	     0.135
  0.092960	     0.134	    -0.040	    -0.039	     0.145
  0.096280	     0.148	    -0.029	    -0.016	     0.152
  0.099600	     0.144	    -0.023	    -0.037	     0.150
  0.102920	     0.148	    -0.027	     0.003	     0.150
  0.106240	     0.162	    -0.044	    -0.010	     0.168
  0.109560	     0.135	    -0.011	    -0.012	     0.136
  0.112880	     0.131	    -0.014	    -0.025	     0.134
  0.116200	     0.127	    -0.018	    -0.002	     0.128
  0.119520	     0.130	    -0.040	    -0.002	     0.136
  0.122840	     0.165	    -0.004	    -0.020	     0.166
