All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:49:23
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.124	     0.002	     0.399	     0.418
  0.006640	     0.120	     0.014	     0.385	     0.404
  0.009960	     0.134	     0.023	     0.393	     0.416
  0.013280	     0.147	     0.008	     0.414	     0.439
  0.016600	     0.146	     0.016	     0.387	     0.414
  0.019920	     0.142	    -0.006	     0.391	     0.416
  0.023240	     0.142	    -0.001	     0.392	     0.417
  0.026560	     0.135	     0.009	     0.407	     0.429
  0.029880	     0.124	     0.003	     0.394	     0.413
  0.033200	     0.149	    -0.006	     0.382	     0.410
  0.036520	     0.128	    -0.014	     0.397	     0.417
  0.039840	     0.142	     0.011	     0.394	     0.419
  0.043160	     0.134	     0.002	     0.376	     0.399
  0.046480	     0.133	     0.010	     0.412	     0.433
  0.049800	     0.123	     0.011	     0.402	     0.421
  0.053120	     0.141	     0.007	     0.388	     0.413
  0.056440	     0.171	    -0.009	     0.392	     0.428
  0.059760	     0.159	     0.002	     0.387	     0.418
  0.063080	     0.148	     0.004	     0.397	     0.424
  0.066400	     0.135	    -0.004	     0.404	     0.426
  0.069720	     0.133	     0.005	     0.405	     0.426
  0.073040	     0.141	     0.016	     0.375	     0.401
  0.076360	     0.167	     0.008	     0.408	     0.441
  0.079680	     0.138	     0.012	     0.380	     0.404
  0.083000	     0.140	     0.017	     0.363	     0.389
  0.086320	     0.151	    -0.003	     0.399	     0.427
  0.089640	     0.139	     0.031	     0.396	     0.421
  0.092960	     0.140	    -0.009	     0.384	     0.409
  0.096280	     0.124	     0.001	     0.385	     0.404
  0.099600	     0.148	     0.007	     0.397	     0.424
  0.102920	     0.127	     0.045	     0.374	     0.398
  0.106240	     0.134	     0.010	     0.405	     0.427
  0.109560	     0.152	    -0.003	     0.415	     0.442
  0.112880	     0.120	     0.007	     0.390	     0.408
  0.116200	     0.139	     0.010	     0.412	     0.435
  0.119520	     0.140	     0.013	     0.375	     0.400
  0.122840	     0.122	     0.010	     0.397	     0.415
  0.126160	     0.135	     0.010	     0.414	     0.436
  0.129480	     0.126	    -0.009	     0.392	     0.412
  0.132800	     0.129	     0.003	     0.399	     0.419
  0.136120	     0.120	     0.018	     0.379	     0.398
  0.139440	     0.146	    -0.002	     0.382	     0.409
  0.142760	     0.137	    -0.006	     0.414	     0.436
  0.146080	     0.122	     0.010	     0.398	     0.416
  0.149400	     0.145	    -0.003	     0.412	     0.437
