All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:13:46
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.102	    -0.046	     0.066	     0.130
  0.006640	     0.114	    -0.066	     0.080	     0.154
  0.009960	     0.146	    -0.050	     0.087	     0.177
  0.013280	     0.105	    -0.045	     0.056	     0.127
  0.016600	     0.097	    -0.049	     0.059	     0.124
  0.019920	     0.088	    -0.049	     0.076	     0.126
  0.023240	     0.105	    -0.041	     0.075	     0.135
  0.026560	     0.124	    -0.058	     0.066	     0.152
  0.029880	     0.109	    -0.060	     0.039	     0.130
  0.033200	     0.118	    -0.065	     0.043	     0.141
  0.036520	     0.128	    -0.062	     0.043	     0.149
  0.039840	     0.120	    -0.061	     0.030	     0.138
  0.043160	     0.137	    -0.051	     0.053	     0.155
  0.046480	     0.116	    -0.041	     0.084	     0.149
  0.049800	     0.120	    -0.043	     0.051	     0.137
  0.053120	     0.131	    -0.049	     0.075	     0.159
  0.056440	     0.094	    -0.062	     0.082	     0.139
  0.059760	     0.124	    -0.065	     0.057	     0.151
  0.063080	     0.119	    -0.063	     0.058	     0.147
  0.066400	     0.135	    -0.077	     0.067	     0.169
  0.069720	     0.126	    -0.043	     0.064	     0.148
  0.073040	     0.112	    -0.044	     0.067	     0.138
  0.076360	     0.111	    -0.058	     0.050	     0.135
  0.079680	     0.120	    -0.054	     0.087	     0.158
  0.083000	     0.101	    -0.082	     0.052	     0.140
  0.086320	     0.141	    -0.052	     0.065	     0.164
  0.089640	     0.123	    -0.076	     0.074	     0.162
  0.092960	     0.117	    -0.075	     0.078	     0.159
  0.096280	     0.118	    -0.077	     0.081	     0.163
  0.099600	     0.131	    -0.037	     0.071	     0.154
  0.102920	     0.117	    -0.039	     0.064	     0.139
  0.106240	     0.122	    -0.066	     0.068	     0.154
  0.109560	     0.128	    -0.061	     0.067	     0.157
  0.112880	     0.137	    -0.063	     0.053	     0.160
  0.116200	     0.111	    -0.073	     0.037	     0.138
  0.119520	     0.108	    -0.086	     0.063	     0.152
  0.122840	     0.084	    -0.051	     0.062	     0.116
  0.126160	     0.141	    -0.063	     0.064	     0.167
  0.129480	     0.122	    -0.054	     0.066	     0.149
  0.132800	     0.146	    -0.055	     0.043	     0.162
  0.136120	     0.123	    -0.031	     0.096	     0.159
  0.139440	     0.124	    -0.070	     0.067	     0.157
  0.142760	     0.138	    -0.074	     0.043	     0.162
  0.146080	     0.126	    -0.064	     0.052	     0.151
  0.149400	     0.126	    -0.066	     0.078	     0.162
  0.152720	     0.128	    -0.051	     0.072	     0.155
  0.156040	     0.134	    -0.038	     0.031	     0.143
  0.159360	     0.124	    -0.040	     0.056	     0.142
  0.162680	     0.117	    -0.068	     0.062	     0.149
  0.166000	     0.124	    -0.064	     0.072	     0.157
  0.169320	     0.112	    -0.053	     0.074	     0.144
  0.172640	     0.144	    -0.074	     0.067	     0.175
  0.175960	     0.118	    -0.063	     0.064	     0.148
  0.179280	     0.126	    -0.064	     0.074	     0.160
  0.182600	     0.135	    -0.064	     0.070	     0.165
  0.185920	     0.122	    -0.080	     0.052	     0.155
  0.189240	     0.152	    -0.048	     0.071	     0.174
  0.192560	     0.131	    -0.058	     0.077	     0.163
  0.195880	     0.104	    -0.059	     0.065	     0.136
  0.199200	     0.134	    -0.083	     0.082	     0.178
  0.202520	     0.124	    -0.069	     0.059	     0.154
  0.205840	     0.117	    -0.057	     0.061	     0.144
  0.209160	     0.130	    -0.062	     0.065	     0.158
  0.212480	     0.123	    -0.058	     0.059	     0.148
  0.215800	     0.150	    -0.058	     0.072	     0.176
  0.219120	     0.120	    -0.062	     0.051	     0.144
  0.222440	     0.151	    -0.062	     0.078	     0.181
  0.225760	     0.126	    -0.049	     0.040	     0.141
  0.229080	     0.094	    -0.056	     0.104	     0.151
  0.232400	     0.122	    -0.066	     0.088	     0.164
  0.235720	     0.126	    -0.058	     0.065	     0.153
  0.239040	     0.115	    -0.062	     0.040	     0.137
  0.242360	     0.112	    -0.074	     0.059	     0.147
  0.245680	     0.123	    -0.063	     0.035	     0.143
  0.249000	     0.103	    -0.066	     0.068	     0.140
  0.252320	     0.109	    -0.068	     0.068	     0.145
  0.255640	     0.110	    -0.060	     0.076	     0.147
  0.258960	     0.098	    -0.064	     0.076	     0.140
  0.262280	     0.120	    -0.061	     0.075	     0.154
  0.265600	     0.134	    -0.069	     0.068	     0.165
  0.268920	     0.131	    -0.046	     0.068	     0.155
  0.272240	     0.107	    -0.051	     0.092	     0.150
  0.275560	     0.114	    -0.079	     0.041	     0.145
  0.278880	     0.114	    -0.049	     0.057	     0.137
  0.282200	     0.137	    -0.062	     0.040	     0.156
  0.285520	     0.124	    -0.062	     0.071	     0.156
  0.288840	     0.105	    -0.064	     0.060	     0.137
  0.292160	     0.117	    -0.072	     0.067	     0.153
  0.295480	     0.135	    -0.062	     0.049	     0.156
  0.298800	     0.095	    -0.063	     0.085	     0.142
  0.302120	     0.124	    -0.054	     0.032	     0.139
  0.305440	     0.101	    -0.069	     0.041	     0.129
  0.308760	     0.099	    -0.064	     0.032	     0.122
  0.312080	     0.115	    -0.039	     0.035	     0.126
  0.315400	     0.108	    -0.059	     0.053	     0.134
  0.318720	     0.122	    -0.035	     0.075	     0.147
  0.322040	     0.131	    -0.040	     0.060	     0.150
  0.325360	     0.108	    -0.070	     0.064	     0.144
  0.328680	     0.119	    -0.059	     0.068	     0.149
  0.332000	     0.129	    -0.045	     0.095	     0.166
  0.335320	     0.139	    -0.038	     0.067	     0.159
  0.338640	     0.126	    -0.069	     0.061	     0.156
  0.341960	     0.111	    -0.072	     0.090	     0.160
  0.345280	     0.115	    -0.061	     0.053	     0.141
  0.348600	     0.138	    -0.026	     0.062	     0.154
  0.351920	     0.104	    -0.055	     0.059	     0.132
  0.355240	     0.119	    -0.051	     0.071	     0.148
  0.358560	     0.121	    -0.053	     0.096	     0.163
  0.361880	     0.123	    -0.050	     0.087	     0.159
  0.365200	     0.095	    -0.043	     0.070	     0.126
  0.368520	     0.112	    -0.046	     0.087	     0.149
  0.371840	     0.117	    -0.051	     0.079	     0.150
  0.375160	     0.113	    -0.059	     0.065	     0.143
  0.378480	     0.144	    -0.074	     0.047	     0.169
  0.381800	     0.108	    -0.071	     0.049	     0.138
  0.385120	     0.118	    -0.059	     0.069	     0.149
  0.388440	     0.121	    -0.048	     0.078	     0.152
  0.391760	     0.101	    -0.058	     0.055	     0.129
  0.395080	     0.122	    -0.055	     0.061	     0.147
  0.398400	     0.131	    -0.048	     0.085	     0.163
  0.401720	     0.118	    -0.070	     0.085	     0.161
  0.405040	     0.117	    -0.046	     0.077	     0.147
  0.408360	     0.131	    -0.041	     0.056	     0.148
  0.411680	     0.153	    -0.054	     0.069	     0.176
  0.415000	     0.122	    -0.040	     0.066	     0.144
  0.418320	     0.107	    -0.056	     0.080	     0.145
  0.421640	     0.131	    -0.049	     0.043	     0.146
  0.424960	     0.122	    -0.065	     0.056	     0.149
  0.428280	     0.130	    -0.060	     0.066	     0.158
  0.431600	     0.117	    -0.069	     0.042	     0.142
  0.434920	     0.146	    -0.065	     0.067	     0.173
  0.438240	     0.114	    -0.054	     0.049	     0.135
  0.441560	     0.113	    -0.082	     0.056	     0.150
  0.444880	     0.117	    -0.072	     0.055	     0.148
  0.448200	     0.117	    -0.063	     0.074	     0.152
  0.451520	     0.129	    -0.062	     0.041	     0.149
  0.454840	     0.091	    -0.062	     0.067	     0.129
  0.458160	     0.114	    -0.055	     0.059	     0.140
  0.461480	     0.133	    -0.048	     0.053	     0.151
  0.464800	     0.127	    -0.051	     0.046	     0.144
  0.468120	     0.111	    -0.045	     0.089	     0.149
  0.471440	     0.126	    -0.054	     0.040	     0.143
  0.474760	     0.108	    -0.072	     0.078	     0.151
  0.478080	     0.105	    -0.050	     0.061	     0.131
  0.481400	     0.119	    -0.044	     0.068	     0.144
  0.484720	     0.123	    -0.071	     0.059	     0.154
