All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:24:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.206	     0.454	     0.039	     0.500
  0.006640	     0.211	     0.452	     0.065	     0.503
  0.009960	     0.219	     0.443	     0.054	     0.497
  0.013280	     0.218	     0.421	     0.016	     0.474
  0.016600	     0.207	     0.466	     0.050	     0.512
  0.019920	     0.209	     0.466	     0.063	     0.515
  0.023240	     0.212	     0.458	     0.064	     0.509
  0.026560	     0.210	     0.462	     0.068	     0.512
  0.029880	     0.214	     0.428	     0.046	     0.481
  0.033200	     0.209	     0.465	     0.048	     0.512
  0.036520	     0.213	     0.459	     0.054	     0.509
  0.039840	     0.210	     0.431	     0.069	     0.484
  0.043160	     0.198	     0.464	     0.058	     0.508
  0.046480	     0.184	     0.435	     0.090	     0.481
  0.049800	     0.224	     0.431	     0.044	     0.488
  0.053120	     0.198	     0.444	     0.045	     0.488
  0.056440	     0.218	     0.440	     0.049	     0.493
  0.059760	     0.225	     0.447	     0.048	     0.503
  0.063080	     0.204	     0.438	     0.044	     0.485
  0.066400	     0.223	     0.446	     0.061	     0.502
  0.069720	     0.234	     0.435	     0.038	     0.495
  0.073040	     0.215	     0.472	     0.028	     0.519
  0.076360	     0.236	     0.429	     0.052	     0.492
  0.079680	     0.238	     0.431	     0.043	     0.494
  0.083000	     0.259	     0.459	     0.032	     0.528
  0.086320	     0.219	     0.443	     0.061	     0.498
  0.089640	     0.238	     0.477	     0.039	     0.535
  0.092960	     0.221	     0.438	     0.063	     0.495
  0.096280	     0.222	     0.444	     0.049	     0.499
  0.099600	     0.223	     0.443	     0.062	     0.500
  0.102920	     0.211	     0.448	     0.058	     0.499
  0.106240	     0.206	     0.449	     0.063	     0.498
  0.109560	     0.201	     0.460	     0.028	     0.503
  0.112880	     0.224	     0.457	     0.064	     0.513
  0.116200	     0.191	     0.450	     0.055	     0.492
  0.119520	     0.242	     0.475	     0.041	     0.535
  0.122840	     0.227	     0.453	     0.044	     0.509
  0.126160	     0.218	     0.449	     0.061	     0.503
  0.129480	     0.234	     0.467	     0.046	     0.524
  0.132800	     0.228	     0.424	     0.076	     0.487
  0.136120	     0.224	     0.476	     0.052	     0.529
  0.139440	     0.230	     0.458	     0.040	     0.514
  0.142760	     0.234	     0.450	     0.028	     0.508
  0.146080	     0.232	     0.446	     0.036	     0.504
  0.149400	     0.239	     0.466	     0.033	     0.525
  0.152720	     0.223	     0.461	     0.029	     0.513
  0.156040	     0.237	     0.443	     0.032	     0.503
  0.159360	     0.213	     0.437	     0.037	     0.488
  0.162680	     0.225	     0.435	     0.035	     0.491
  0.166000	     0.217	     0.453	     0.064	     0.506
  0.169320	     0.252	     0.459	     0.049	     0.526
  0.172640	     0.255	     0.454	     0.035	     0.522
  0.175960	     0.240	     0.449	     0.028	     0.510
  0.179280	     0.211	     0.428	     0.045	     0.479
  0.182600	     0.207	     0.457	     0.061	     0.505
  0.185920	     0.213	     0.468	     0.030	     0.515
  0.189240	     0.206	     0.453	     0.044	     0.500
