All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:21:44
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.186	     0.315	     0.019	     0.366
  0.006640	     0.207	     0.279	     0.048	     0.351
  0.009960	     0.177	     0.281	     0.023	     0.333
  0.013280	     0.184	     0.286	     0.031	     0.341
  0.016600	     0.167	     0.270	     0.056	     0.322
  0.019920	     0.207	     0.282	     0.046	     0.353
  0.023240	     0.205	     0.285	     0.050	     0.355
  0.026560	     0.188	     0.274	     0.041	     0.335
  0.029880	     0.203	     0.273	     0.041	     0.343
  0.033200	     0.194	     0.279	     0.021	     0.340
  0.036520	     0.206	     0.299	     0.049	     0.366
  0.039840	     0.188	     0.268	     0.018	     0.328
  0.043160	     0.198	     0.263	     0.018	     0.330
  0.046480	     0.174	     0.284	     0.044	     0.336
  0.049800	     0.185	     0.274	     0.067	     0.337
  0.053120	     0.211	     0.286	     0.024	     0.356
  0.056440	     0.173	     0.282	     0.024	     0.332
  0.059760	     0.174	     0.308	     0.032	     0.355
  0.063080	     0.204	     0.283	     0.051	     0.353
  0.066400	     0.194	     0.260	     0.040	     0.327
  0.069720	     0.186	     0.290	     0.043	     0.347
  0.073040	     0.195	     0.293	     0.025	     0.353
  0.076360	     0.190	     0.295	     0.046	     0.354
  0.079680	     0.206	     0.279	     0.034	     0.348
  0.083000	     0.180	     0.267	     0.052	     0.326
  0.086320	     0.184	     0.316	     0.054	     0.370
  0.089640	     0.173	     0.297	     0.059	     0.349
  0.092960	     0.195	     0.305	     0.042	     0.364
  0.096280	     0.185	     0.295	     0.064	     0.354
  0.099600	     0.163	     0.278	     0.062	     0.328
  0.102920	     0.215	     0.273	     0.038	     0.350
  0.106240	     0.176	     0.313	     0.032	     0.361
  0.109560	     0.163	     0.294	     0.024	     0.337
  0.112880	     0.192	     0.297	     0.013	     0.354
  0.116200	     0.201	     0.276	     0.040	     0.344
  0.119520	     0.173	     0.273	     0.035	     0.325
  0.122840	     0.179	     0.271	     0.023	     0.326
  0.126160	     0.197	     0.252	     0.029	     0.321
  0.129480	     0.206	     0.281	     0.040	     0.351
  0.132800	     0.195	     0.308	     0.052	     0.368
  0.136120	     0.205	     0.306	     0.040	     0.370
  0.139440	     0.217	     0.299	     0.043	     0.372
  0.142760	     0.200	     0.290	     0.050	     0.356
  0.146080	     0.214	     0.273	     0.045	     0.350
  0.149400	     0.202	     0.301	     0.034	     0.364
  0.152720	     0.194	     0.261	     0.019	     0.326
  0.156040	     0.193	     0.287	     0.041	     0.348
  0.159360	     0.194	     0.281	     0.039	     0.344
