All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:19:3
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.186	     0.115	     0.040	     0.222
  0.006640	     0.202	     0.130	     0.056	     0.247
  0.009960	     0.144	     0.124	     0.068	     0.202
  0.013280	     0.158	     0.137	     0.067	     0.220
  0.016600	     0.191	     0.129	     0.072	     0.241
  0.019920	     0.167	     0.128	     0.061	     0.219
  0.023240	     0.185	     0.148	     0.061	     0.245
  0.026560	     0.180	     0.126	     0.067	     0.230
  0.029880	     0.184	     0.145	     0.074	     0.246
  0.033200	     0.195	     0.155	     0.044	     0.253
  0.036520	     0.134	     0.132	     0.062	     0.198
  0.039840	     0.164	     0.137	     0.064	     0.223
  0.043160	     0.191	     0.139	     0.071	     0.247
  0.046480	     0.173	     0.130	     0.060	     0.225
  0.049800	     0.178	     0.150	     0.058	     0.240
  0.053120	     0.176	     0.135	     0.071	     0.233
  0.056440	     0.174	     0.120	     0.059	     0.219
  0.059760	     0.167	     0.118	     0.032	     0.207
  0.063080	     0.182	     0.151	     0.054	     0.243
  0.066400	     0.180	     0.146	     0.071	     0.242
  0.069720	     0.160	     0.134	     0.069	     0.220
  0.073040	     0.179	     0.149	     0.081	     0.247
  0.076360	     0.166	     0.128	     0.061	     0.218
  0.079680	     0.169	     0.147	     0.052	     0.230
  0.083000	     0.177	     0.119	     0.056	     0.221
  0.086320	     0.193	     0.134	     0.067	     0.244
  0.089640	     0.187	     0.119	     0.069	     0.232
  0.092960	     0.190	     0.131	     0.059	     0.238
  0.096280	     0.203	     0.148	     0.080	     0.264
  0.099600	     0.175	     0.131	     0.061	     0.227
  0.102920	     0.190	     0.108	     0.060	     0.227
  0.106240	     0.185	     0.120	     0.049	     0.226
  0.109560	     0.181	     0.141	     0.040	     0.233
  0.112880	     0.162	     0.139	     0.062	     0.222
  0.116200	     0.205	     0.117	     0.055	     0.242
  0.119520	     0.163	     0.150	     0.035	     0.224
  0.122840	     0.173	     0.128	     0.058	     0.223
  0.126160	     0.169	     0.118	     0.052	     0.213
  0.129480	     0.165	     0.120	     0.062	     0.213
  0.132800	     0.184	     0.123	     0.053	     0.228
  0.136120	     0.185	     0.134	     0.067	     0.238
  0.139440	     0.174	     0.126	     0.081	     0.230
  0.142760	     0.158	     0.153	     0.046	     0.225
  0.146080	     0.169	     0.131	     0.072	     0.226
  0.149400	     0.167	     0.134	     0.061	     0.223
  0.152720	     0.192	     0.128	     0.076	     0.243
  0.156040	     0.176	     0.124	     0.050	     0.221
  0.159360	     0.194	     0.148	     0.067	     0.253
  0.162680	     0.172	     0.139	     0.048	     0.226
  0.166000	     0.186	     0.144	     0.067	     0.245
  0.169320	     0.174	     0.136	     0.042	     0.225
  0.172640	     0.164	     0.123	     0.059	     0.213
  0.175960	     0.163	     0.139	     0.055	     0.221
  0.179280	     0.184	     0.144	     0.065	     0.243
  0.182600	     0.180	     0.152	     0.054	     0.242
  0.185920	     0.182	     0.164	     0.028	     0.247
  0.189240	     0.188	     0.123	     0.056	     0.232
  0.192560	     0.178	     0.129	     0.053	     0.226
  0.195880	     0.200	     0.163	     0.036	     0.261
  0.199200	     0.181	     0.140	     0.044	     0.233
  0.202520	     0.189	     0.148	     0.064	     0.248
  0.205840	     0.171	     0.116	     0.083	     0.223
  0.209160	     0.180	     0.119	     0.060	     0.224
  0.212480	     0.183	     0.144	     0.059	     0.240
  0.215800	     0.202	     0.148	     0.073	     0.261
  0.219120	     0.188	     0.155	     0.041	     0.247
  0.222440	     0.189	     0.148	     0.050	     0.245
  0.225760	     0.185	     0.148	     0.058	     0.244
  0.229080	     0.179	     0.150	     0.044	     0.238
