All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:41:10
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.161	    -0.006	     0.048	     0.168
  0.006640	     0.181	    -0.024	     0.048	     0.189
  0.009960	     0.170	     0.004	     0.035	     0.174
  0.013280	     0.170	    -0.017	     0.047	     0.177
  0.016600	     0.154	    -0.024	     0.072	     0.172
  0.019920	     0.177	    -0.002	     0.054	     0.185
  0.023240	     0.155	     0.003	     0.089	     0.179
  0.026560	     0.184	    -0.012	     0.049	     0.191
  0.029880	     0.178	    -0.032	     0.061	     0.191
  0.033200	     0.173	    -0.005	     0.052	     0.181
  0.036520	     0.194	    -0.034	     0.069	     0.209
  0.039840	     0.158	    -0.017	     0.050	     0.167
  0.043160	     0.202	    -0.036	     0.071	     0.217
  0.046480	     0.184	    -0.028	     0.071	     0.199
  0.049800	     0.157	    -0.039	     0.061	     0.173
  0.053120	     0.200	    -0.012	     0.077	     0.215
  0.056440	     0.162	    -0.015	     0.056	     0.172
  0.059760	     0.180	    -0.007	     0.041	     0.185
  0.063080	     0.155	     0.001	     0.080	     0.174
  0.066400	     0.171	    -0.011	     0.055	     0.180
  0.069720	     0.162	    -0.007	     0.047	     0.169
  0.073040	     0.171	    -0.026	     0.037	     0.177
  0.076360	     0.184	    -0.009	     0.059	     0.193
  0.079680	     0.173	    -0.016	     0.055	     0.182
  0.083000	     0.159	    -0.029	     0.067	     0.175
  0.086320	     0.173	    -0.022	     0.037	     0.178
  0.089640	     0.163	    -0.024	     0.058	     0.175
  0.092960	     0.171	    -0.017	     0.065	     0.184
  0.096280	     0.181	    -0.024	     0.066	     0.194
  0.099600	     0.173	    -0.020	     0.053	     0.182
  0.102920	     0.188	    -0.027	     0.060	     0.199
  0.106240	     0.160	    -0.027	     0.089	     0.185
  0.109560	     0.171	    -0.004	     0.067	     0.184
  0.112880	     0.161	    -0.036	     0.067	     0.178
  0.116200	     0.167	    -0.009	     0.064	     0.179
  0.119520	     0.174	    -0.014	     0.061	     0.185
  0.122840	     0.155	    -0.044	     0.047	     0.168
  0.126160	     0.185	    -0.023	     0.058	     0.195
  0.129480	     0.166	    -0.042	     0.071	     0.185
  0.132800	     0.145	    -0.007	     0.058	     0.156
  0.136120	     0.150	    -0.010	     0.057	     0.161
  0.139440	     0.174	    -0.015	     0.062	     0.185
  0.142760	     0.171	    -0.018	     0.073	     0.187
  0.146080	     0.158	    -0.017	     0.051	     0.167
  0.149400	     0.203	    -0.044	     0.075	     0.221
  0.152720	     0.198	    -0.027	     0.049	     0.206
  0.156040	     0.161	     0.008	     0.104	     0.192
  0.159360	     0.174	    -0.010	     0.048	     0.181
  0.162680	     0.178	    -0.007	     0.079	     0.195
  0.166000	     0.181	    -0.006	     0.075	     0.196
  0.169320	     0.163	     0.000	     0.041	     0.168
  0.172640	     0.181	    -0.002	     0.061	     0.191
  0.175960	     0.182	    -0.014	     0.059	     0.192
  0.179280	     0.198	    -0.005	     0.064	     0.208
  0.182600	     0.180	    -0.021	     0.059	     0.191
  0.185920	     0.176	    -0.041	     0.053	     0.188
  0.189240	     0.166	    -0.018	     0.079	     0.185
  0.192560	     0.176	    -0.008	     0.047	     0.182
  0.195880	     0.163	    -0.010	     0.039	     0.168
  0.199200	     0.166	    -0.041	     0.074	     0.186
  0.202520	     0.166	    -0.024	     0.056	     0.177
  0.205840	     0.188	    -0.026	     0.068	     0.202
  0.209160	     0.179	    -0.019	     0.026	     0.182
  0.212480	     0.169	    -0.001	     0.055	     0.178
  0.215800	     0.168	     0.008	     0.074	     0.184
  0.219120	     0.186	    -0.037	     0.074	     0.204
  0.222440	     0.181	    -0.006	     0.052	     0.188
  0.225760	     0.189	    -0.020	     0.038	     0.194
  0.229080	     0.199	     0.000	     0.061	     0.208
  0.232400	     0.184	    -0.015	     0.056	     0.193
  0.235720	     0.177	    -0.041	     0.059	     0.191
  0.239040	     0.167	    -0.013	     0.031	     0.170
  0.242360	     0.192	    -0.026	     0.083	     0.211
  0.245680	     0.183	    -0.018	     0.074	     0.198
  0.249000	     0.180	    -0.024	     0.088	     0.202
  0.252320	     0.180	     0.003	     0.071	     0.194
  0.255640	     0.177	    -0.040	     0.050	     0.188
  0.258960	     0.159	    -0.027	     0.071	     0.176
  0.262280	     0.186	    -0.014	     0.065	     0.198
  0.265600	     0.217	    -0.037	     0.067	     0.230
  0.268920	     0.194	    -0.026	     0.064	     0.206
  0.272240	     0.199	    -0.003	     0.047	     0.204
  0.275560	     0.185	     0.028	     0.060	     0.196
  0.278880	     0.200	     0.010	     0.069	     0.212
  0.282200	     0.189	    -0.017	     0.057	     0.198
  0.285520	     0.155	    -0.001	     0.052	     0.163
  0.288840	     0.198	    -0.018	     0.040	     0.203
  0.292160	     0.185	    -0.034	     0.075	     0.202
  0.295480	     0.190	    -0.018	     0.052	     0.198
  0.298800	     0.196	    -0.025	     0.070	     0.210
  0.302120	     0.184	    -0.015	     0.078	     0.200
  0.305440	     0.197	    -0.022	     0.067	     0.209
  0.308760	     0.194	    -0.037	     0.071	     0.210
  0.312080	     0.180	    -0.007	     0.032	     0.183
  0.315400	     0.181	    -0.005	     0.062	     0.191
  0.318720	     0.164	     0.008	     0.065	     0.177
  0.322040	     0.191	    -0.012	     0.052	     0.198
  0.325360	     0.186	    -0.037	     0.055	     0.197
  0.328680	     0.192	     0.015	     0.075	     0.207
  0.332000	     0.194	    -0.021	     0.071	     0.208
  0.335320	     0.183	    -0.018	     0.061	     0.194
  0.338640	     0.180	     0.002	     0.075	     0.195
  0.341960	     0.188	    -0.031	     0.069	     0.203
  0.345280	     0.189	    -0.007	     0.058	     0.198
  0.348600	     0.174	    -0.006	     0.043	     0.179
  0.351920	     0.182	    -0.017	     0.062	     0.193
  0.355240	     0.174	    -0.015	     0.059	     0.184
  0.358560	     0.194	    -0.014	     0.041	     0.199
  0.361880	     0.182	    -0.012	     0.074	     0.197
  0.365200	     0.169	    -0.010	     0.067	     0.182
  0.368520	     0.170	    -0.017	     0.052	     0.179
  0.371840	     0.186	    -0.017	     0.041	     0.191
  0.375160	     0.170	    -0.009	     0.039	     0.175
  0.378480	     0.167	    -0.009	     0.053	     0.175
  0.381800	     0.153	    -0.028	     0.049	     0.163
  0.385120	     0.180	    -0.006	     0.071	     0.194
  0.388440	     0.176	     0.001	     0.044	     0.181
  0.391760	     0.178	    -0.025	     0.050	     0.187
  0.395080	     0.190	    -0.010	     0.068	     0.202
  0.398400	     0.156	    -0.018	     0.064	     0.170
  0.401720	     0.145	    -0.026	     0.052	     0.156
  0.405040	     0.174	    -0.006	     0.057	     0.183
  0.408360	     0.164	    -0.026	     0.083	     0.186
  0.411680	     0.163	    -0.009	     0.040	     0.168
  0.415000	     0.166	    -0.016	     0.074	     0.182
  0.418320	     0.181	    -0.027	     0.068	     0.195
  0.421640	     0.164	    -0.023	     0.055	     0.174
  0.424960	     0.187	    -0.004	     0.057	     0.196
  0.428280	     0.161	    -0.013	     0.061	     0.173
  0.431600	     0.162	    -0.025	     0.067	     0.177
  0.434920	     0.172	    -0.029	     0.021	     0.176
  0.438240	     0.163	    -0.012	     0.054	     0.172
  0.441560	     0.187	    -0.024	     0.063	     0.199
  0.444880	     0.180	    -0.043	     0.058	     0.194
  0.448200	     0.176	    -0.004	     0.063	     0.187
  0.451520	     0.164	    -0.016	     0.061	     0.176
  0.454840	     0.170	     0.016	     0.065	     0.183
  0.458160	     0.167	    -0.037	     0.060	     0.181
  0.461480	     0.181	    -0.032	     0.101	     0.210
  0.464800	     0.189	    -0.021	     0.053	     0.197
  0.468120	     0.178	    -0.014	     0.087	     0.199
  0.471440	     0.173	    -0.028	     0.067	     0.188
  0.474760	     0.199	    -0.022	     0.069	     0.212
  0.478080	     0.191	    -0.021	     0.059	     0.201
  0.481400	     0.196	    -0.015	     0.073	     0.210
  0.484720	     0.171	    -0.012	     0.098	     0.197
  0.488040	     0.159	    -0.007	     0.058	     0.169
