current_x_coil,current_y_coil,current_z_coil,Bx_probe,By_probe,Bz_probe,Bmod_probe,Bmod_linear,slope,intercept
0.0,0.0,-500.2,-0.521237956810632,0.10904609634551424,-0.013768687707641378,-0.5327003243001717,-0.5308836670321109,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-480.4,-0.5138110465116283,0.10578363787375353,-0.015726328903654774,-0.5248231006538928,-0.5102352416840226,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-460.4,-0.49161088039867124,0.10157931893687644,-0.01576287375415309,-0.5022430526657643,-0.48937824638292327,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-440.2,-0.47229775747508307,0.09771470099667734,-0.014432308970099957,-0.4825159334665238,-0.46831268112881297,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-420.5,-0.45456021594684387,0.09431187707641156,-0.014453073089701396,-0.4644659421325246,-0.4477685407572301,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-400.5,-0.42630191029900294,0.08907184385382033,-0.013974667774086631,-0.4357320316794424,-0.4269115454561308,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-380.4,-0.4075776578073085,0.0851092192691027,-0.015891611295681382,-0.41667213688685817,-0.40595026517852595,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-360.6,-0.3774804817275748,0.0798575581395349,-0.01138164451827263,-0.38600296049283284,-0.3853018398304377,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-340.3,-0.33428197674418625,0.07550456810631245,-0.012200581395349082,-0.342920156840198,-0.36413198959982185,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-320.2,-0.33435838870431894,0.07162250830564776,-0.01543313953488401,-0.3422915388800083,-0.343170709322217,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-300.1,-0.32995224252491673,0.06726951827242517,-0.009768687707641381,-0.336881429727664,-0.32220942904461225,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-280.0,-0.2890593853820596,0.0639140365448504,-0.008924833887043349,-0.2961755982602582,-0.3012481487670074,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-260.3,-0.2753384551495019,0.058453903654484975,-0.009766196013289152,-0.2816442833098731,-0.28070400839542453,0.0010428497650549662,-0.009250214551616835
0.0,0.0,-240.5,-0.2515220099667771,0.053287790697674316,-0.008463870431893783,-0.2572441393654179,-0.2600555830473362,0.0010428497650549662,-0.009250214551616835
