Bmod_probe,Bmod_std_probe,Bx_probe,Bx_std_probe,By_probe,By_std_probe,Bz_probe,Bz_std_probe,current_x_coil,current_y_coil,current_z_coil,Bmod_linear,slope,intercept
-0.4020453140111807,0.0002164124330999817,0.00814161129568125,7.687595500355292e-05,-0.020434800664451823,-3.293234879880782e-05,-0.4014431063122931,0.0001842134256099413,-500.28,0.0,0.0,-0.3950585664850093,0.0007826239771925043,-0.0035274431751433
-0.3841778623526101,0.0002906770447186173,0.010051079734219343,4.8822040989694726e-05,-0.019806063122923538,5.011780582225714e-05,-0.3835352990033227,0.0001419836772278975,-480.71,0.0,0.0,-0.37974261525135206,0.0007826239771925043,-0.0035274431751433
-0.37024943629793444,0.00017118441539919725,0.0075294850498340005,-0.00020474757412324018,-0.019418189368770728,9.783557965515558e-06,-0.3696632059800666,0.00010475168723844599,-460.73,0.0,0.0,-0.3641057881870458,0.0007826239771925043,-0.0035274431751433
-0.3514815211059361,9.542028362891954e-05,0.009287790697674325,6.090925081390008e-05,-0.017902408637873752,-5.1799560583268116e-05,-0.3509024086378738,0.00010342495292695215,-440.26,0.0,0.0,-0.34808547537391527,0.0007826239771925043,-0.0035274431751433
-0.33151764008393747,0.0002845110208983732,0.006869186046511516,3.9840546143045906e-05,-0.01676868770764116,-8.922283911783546e-05,-0.33102200996677716,0.00021258287447129638,-420.51,0.0,0.0,-0.3326286518243633,0.0007826239771925043,-0.0035274431751433
-0.31641839494175894,0.00042021269709722987,0.007811877076411955,8.08702026807856e-05,-0.016430647840531585,-5.5473073253592756e-05,-0.31589493355481724,0.0004169434737605008,-400.28,0.0,0.0,-0.3167961687657589,0.0007826239771925043,-0.0035274431751433
-0.30056589103637926,0.00027964161919573913,0.005609219269102933,-1.85130150847446e-05,-0.015438953488372119,-0.00010388176716510109,-0.30011669435215965,0.0002455821835741297,-380.83,0.0,0.0,-0.3015741324093647,0.0007826239771925043,-0.0035274431751433
-0.2944413610649146,0.00018945967713795845,0.008994601328903618,4.978284636697342e-05,-0.01354443521594684,-5.202721727477332e-05,-0.29399210963455213,-2.6098915714483847e-06,-360.37,0.0,0.0,-0.2855616458360061,0.0007826239771925043,-0.0035274431751433
-0.2749318874283877,0.00021989381175864173,0.0024389534883719477,9.30553894465131e-05,-0.01446470099667774,-1.7875533954154858e-05,-0.274540282392027,0.0001593561171019009,-340.75,0.0,0.0,-0.27020656340348914,0.0007826239771925043,-0.0035274431751433
-0.24756053309246562,0.0001486581922997836,0.004917358803986638,-7.605620802868338e-05,-0.011405730897009955,-4.5581350487852116e-05,-0.24724875415282402,0.0001519813182323409,-320.68,0.0,0.0,-0.25449930018123557,0.0007826239771925043,-0.0035274431751433
-0.23279405656990618,0.00029585778972796364,0.004073504983388598,-1.2440733649012915e-05,-0.011438953488372108,-6.548606735376451e-05,-0.23247715946843864,0.00024291984113759867,-300.14,0.0,0.0,-0.23842420368970155,0.0007826239771925043,-0.0035274431751433
-0.22080566166622462,0.00011216452189443662,0.00645888704318931,3.8945261699474456e-05,-0.01120639534883722,-7.740875753035068e-05,-0.22042649501661124,7.540390012995835e-05,-280.34,0.0,0.0,-0.22292824894128993,0.0007826239771925043,-0.0035274431751433
-0.20669243061215867,0.00028674413249685097,-0.0001482558139533352,0.00024287591739915277,-0.011223006644518321,-0.000124702933734355,-0.2063874584717607,0.0001702037043834724,-260.15,0.0,0.0,-0.2071270708417733,0.0007826239771925043,-0.0035274431751433
-0.19238646648743465,9.35444012066201e-05,0.008033637873753913,-4.2115541203163135e-05,-0.010053571428571467,5.972550404985573e-05,-0.19195556478405312,0.00024564849573100985,-240.48,0.0,0.0,-0.19173285721039673,0.0007826239771925043,-0.0035274431751433
-0.18081453473160983,0.00015563646058196472,0.01556769102990016,-6.994178604959999e-06,-0.010139119601328898,-0.00017112783836720517,-0.17985755813953452,0.00025437817539665985,-220.6,0.0,0.0,-0.17617429254380976,0.0007826239771925043,-0.0035274431751433
-0.1623377832838766,0.0003301975140970791,0.016400747508305502,0.0002651811611912246,-0.00982516611295682,-3.717626096875646e-05,-0.16120805647840464,0.0001398833945012029,-200.1,0.0,0.0,-0.16013050101136342,0.0007826239771925043,-0.0035274431751433
-0.14396740583825235,-3.5562378661919795e-05,0.005779485049833777,-4.921204780914757e-05,-0.007610049833887092,2.996505986054606e-05,-0.14364991694352128,0.00015802113507230745,-180.01,0.0,0.0,-0.144407585309566,0.0007826239771925043,-0.0035274431751433
-0.1305893786241777,0.00013904196388764061,0.00717732558139525,0.00015452231965044656,-0.00810340531561464,8.413687065130567e-06,-0.1301399501661129,6.073890392868826e-05,-160.14,0.0,0.0,-0.12885684688275093,0.0007826239771925043,-0.0035274431751433
-0.1116258444031521,0.0002161808863962336,0.008105897009966806,0.00012755982700304218,-0.007012873754152837,3.308515370635361e-05,-0.11111004983388698,0.0002284158355613376,-140.53,0.0,0.0,-0.11350959069000592,0.0007826239771925043,-0.0035274431751433
-0.08979480515598023,0.0001157754619229112,0.006242940199335384,8.737953866950294e-05,-0.005395764119601354,-3.6983142015909864e-05,-0.0894148671096345,8.549872878074608e-05,-120.2,0.0,0.0,-0.09759884523368231,0.0007826239771925043,-0.0035274431751433
-0.07898164641157494,0.00012582017387629792,0.003374999999999684,9.727783977087155e-05,-0.0044256644518272485,6.100360742587784e-05,-0.07878529900332222,1.1864789324925618e-05,-100.98,0.0,0.0,-0.08255681239204238,0.0007826239771925043,-0.0035274431751433
