All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:43:45
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.146	    -0.034	     0.165	     0.223
  0.006640	     0.131	    -0.007	     0.155	     0.203
  0.009960	     0.135	    -0.005	     0.143	     0.197
  0.013280	     0.133	     0.001	     0.150	     0.200
  0.016600	     0.133	     0.006	     0.167	     0.214
  0.019920	     0.133	     0.001	     0.168	     0.214
  0.023240	     0.137	    -0.005	     0.157	     0.208
  0.026560	     0.138	     0.005	     0.169	     0.218
  0.029880	     0.139	    -0.010	     0.158	     0.211
  0.033200	     0.133	     0.002	     0.166	     0.213
  0.036520	     0.152	     0.006	     0.139	     0.206
  0.039840	     0.149	     0.002	     0.142	     0.206
  0.043160	     0.140	    -0.010	     0.173	     0.223
  0.046480	     0.123	    -0.001	     0.151	     0.195
  0.049800	     0.126	    -0.001	     0.137	     0.186
  0.053120	     0.156	    -0.017	     0.178	     0.237
  0.056440	     0.134	     0.011	     0.124	     0.183
  0.059760	     0.134	    -0.017	     0.151	     0.203
  0.063080	     0.135	    -0.039	     0.159	     0.212
  0.066400	     0.153	    -0.007	     0.159	     0.221
  0.069720	     0.146	    -0.015	     0.161	     0.218
  0.073040	     0.129	     0.017	     0.165	     0.210
  0.076360	     0.144	     0.019	     0.157	     0.214
  0.079680	     0.159	     0.003	     0.167	     0.231
  0.083000	     0.129	    -0.029	     0.146	     0.197
  0.086320	     0.116	    -0.029	     0.166	     0.205
  0.089640	     0.121	    -0.004	     0.182	     0.219
  0.092960	     0.135	    -0.009	     0.180	     0.225
  0.096280	     0.131	     0.000	     0.157	     0.204
  0.099600	     0.128	     0.006	     0.147	     0.195
  0.102920	     0.135	     0.019	     0.121	     0.182
  0.106240	     0.129	    -0.003	     0.179	     0.221
  0.109560	     0.140	     0.023	     0.160	     0.214
  0.112880	     0.109	    -0.001	     0.141	     0.178
  0.116200	     0.142	    -0.003	     0.151	     0.207
  0.119520	     0.131	    -0.010	     0.161	     0.208
  0.122840	     0.121	    -0.017	     0.168	     0.208
  0.126160	     0.152	    -0.010	     0.166	     0.225
  0.129480	     0.122	    -0.003	     0.173	     0.212
  0.132800	     0.117	    -0.039	     0.166	     0.207
  0.136120	     0.117	    -0.016	     0.175	     0.211
  0.139440	     0.127	    -0.011	     0.135	     0.186
  0.142760	     0.124	    -0.015	     0.127	     0.178
  0.146080	     0.142	    -0.007	     0.160	     0.214
  0.149400	     0.123	     0.016	     0.161	     0.203
  0.152720	     0.145	    -0.027	     0.154	     0.213
  0.156040	     0.131	    -0.026	     0.139	     0.193
  0.159360	     0.135	     0.006	     0.159	     0.209
  0.162680	     0.142	    -0.011	     0.156	     0.211
  0.166000	     0.149	     0.007	     0.164	     0.222
  0.169320	     0.146	     0.001	     0.165	     0.220
  0.172640	     0.131	     0.013	     0.159	     0.206
  0.175960	     0.129	    -0.002	     0.175	     0.217
  0.179280	     0.129	    -0.009	     0.161	     0.207
  0.182600	     0.134	    -0.031	     0.138	     0.195
  0.185920	     0.162	    -0.028	     0.115	     0.201
  0.189240	     0.129	    -0.026	     0.158	     0.206
  0.192560	     0.129	    -0.012	     0.147	     0.196
  0.195880	     0.146	     0.003	     0.172	     0.226
  0.199200	     0.121	    -0.029	     0.181	     0.220
  0.202520	     0.139	     0.005	     0.162	     0.214
  0.205840	     0.127	    -0.003	     0.166	     0.209
  0.209160	     0.124	    -0.036	     0.169	     0.213
  0.212480	     0.140	     0.000	     0.148	     0.204
  0.215800	     0.117	    -0.006	     0.170	     0.206
  0.219120	     0.137	     0.001	     0.153	     0.205
  0.222440	     0.144	     0.001	     0.168	     0.221
  0.225760	     0.154	    -0.001	     0.148	     0.214
  0.229080	     0.139	    -0.009	     0.174	     0.223
  0.232400	     0.149	    -0.015	     0.150	     0.212
  0.235720	     0.135	    -0.024	     0.166	     0.215
  0.239040	     0.158	    -0.017	     0.143	     0.214
  0.242360	     0.130	    -0.010	     0.166	     0.211
  0.245680	     0.128	    -0.014	     0.165	     0.209
  0.249000	     0.148	    -0.018	     0.172	     0.228
  0.252320	     0.130	    -0.011	     0.167	     0.212
  0.255640	     0.127	     0.000	     0.181	     0.221
  0.258960	     0.111	     0.012	     0.175	     0.208
  0.262280	     0.127	    -0.027	     0.160	     0.206
  0.265600	     0.139	     0.028	     0.185	     0.233
  0.268920	     0.126	    -0.018	     0.166	     0.209
  0.272240	     0.162	    -0.024	     0.135	     0.212
  0.275560	     0.146	    -0.002	     0.140	     0.202
  0.278880	     0.128	    -0.014	     0.175	     0.217
