,B_labx,B_laby,B_labz,CURR_X,CURR_Y,CURR_Z,D,Mz1,Mz2,Mz3,Mz4,coil_BX,coil_BY,coil_BZ,fraction,glor
0,178.47930171025752,71.3783852342874,35.60510199351374,0.0,,,2870,0.729357518864937,0.7473283239869488,0.5927757224025587,0.9750027633255272,0.24495759,,,0.46005820707097356,12.635199054908178
1,177.86486308261826,72.97625929623798,35.56596672504124,0.2,,,2870,0.789525929066567,0.8114639583806991,0.9145123358397598,1.0428775735434197,2.4180797280000004,,,0.5698683455396168,12.706948741142185
2,177.29940888290318,74.60102082030858,35.47326659782746,0.4,,,2870,0.7998971049147645,0.8398599136464959,0.758180652417062,1.0146141414373986,4.5912018660000005,,,0.5517161804472914,12.842665929761859
3,176.6947595570872,76.21020747923455,35.49029126528074,0.6,,,2870,0.7930229652117777,0.8352986038851657,0.7772011565693315,0.9116883655369286,6.764324004,,,0.6292714155102492,12.721868352296607
4,176.01797266550676,77.97111889580839,35.385704440656205,0.8,,,2870,0.6990630803895179,0.861094671852964,0.7540521441262893,0.8812934989957242,8.937446142,,,0.6720587263026525,12.805103696917305
5,175.3808535084597,79.59459304645222,35.349371376904216,1.0,,,2870,0.7708069292748299,0.9104359441152177,0.7979389545188287,0.958574353788066,11.110568279999999,,,0.6604978506372958,12.787105108199109
6,178.44117855504496,71.37226538577461,35.56879916659867,,0.0,,2870,0.7390411119437523,0.8467525563642155,0.765711556590027,1.0427662559433681,,1.1899290999999999,,0.6945048228911911,12.773608937825081
7,177.03885604132344,70.81187109482462,35.493984293117784,,0.2,,2870,0.7598086533385597,1.0202668070063758,0.7130816029468718,0.9178188696102936,,2.975134284,,0.5979247062930448,12.805813407235044
8,175.52244180597967,70.29131515823089,35.52400675652822,,0.4,,2870,0.8978739146426111,0.984626468113234,0.5781938776446047,0.9071953505091752,,4.760339468000001,,0.6705211681968481,12.858573946903789
9,173.99693756316225,69.672633643705,35.488622213329734,,0.6,,2870,0.8976513828551091,1.013013266945892,0.6663882428899903,0.8800371304896775,,6.545544652,,0.5896307461661046,12.894583662844289
10,172.40087785926806,69.06555196787696,35.42387082837104,,0.8,,2870,0.7716986276455842,1.0056022106920874,0.8286647185554763,1.143668040103016,,8.330749836,,0.6923969185822529,12.913900280433385
11,170.8722395492899,68.49795707899125,35.39361217918086,,1.0,,2870,0.9937749784536383,0.7551062457432174,1.1608392222008295,0.9757813070567245,,10.115955020000001,,0.24602890014260187,12.659859664139011
12,178.5138035106922,71.38861366143739,35.62334835012888,,,0.0,2870,0.7781584568931201,0.7854771201502686,0.667201605215336,0.995058744792793,,,0.03419481,0.6762213465972156,12.760198009703421
13,178.53166562958938,71.30558958739816,33.48691440511513,,,0.2,2870,0.818561356516474,0.7830984982871652,0.7650863419900737,0.8901281359899542,,,1.6549355040000002,0.6489829940822731,12.799247206255487
14,178.63273954656896,71.1264036933666,31.390996076998846,,,0.4,2870,0.9458919247132016,0.6586357301735806,1.0714652421573874,0.8542894614765277,,,3.275676198,0.49528494992008576,12.818791441116629
15,178.61341898417865,71.15552360483429,29.155046060255717,,,0.6,2870,0.8292498268604014,0.7463707439506315,0.7061033669590149,0.8194595714968429,,,4.8964168919999995,0.6890540105782006,12.919885513047092
16,178.63515537318605,71.09397797412976,26.90719681710727,,,0.8,2870,0.8592296841440152,0.8337256990803432,0.6204195690179048,0.849067524792881,,,6.517157586000001,0.4482169459581716,13.175660158383673
17,178.59767882915745,71.05791974684472,24.614988581637242,,,1.0,2870,0.7764152316412698,0.7426222750658074,0.7329847141210095,0.999645713985835,,,8.13789828,0.6508638164665697,13.079013277956102
