,B index,Bmod coil (mT),Bmod coil std (mT),Bmod measured (mT),Bmod measured std (mT),Bx coil (mT),Bx coil std (mT),Bx measured (mT),Bx measured std (mT),By coil (mT),By coil std (mT),By measured (mT),By measured std (mT),Bz coil (mT),Bz coil std (mT),Bz measured (mT),Bz measured std (mT),avg,contrast 2,contrast 4,contrast 6,contrast 8,contrast std 2,contrast std 4,contrast std 6,contrast std 8,dev (MHz),width 2,width 4,width 6,width 8,width std 2,width std 4,width std 6,width std 8
0,0.0,3.614441495697365e-05,0.012804641144116263,0.02147808,0.0009046653137084236,1.0017201766816114e-05,-0.0031361311865470507,0.00614792,0.0010575096289203514,-1.5357546495071983e-05,-0.008394968029567814,-0.0031580900000000005,0.0029128777637044694,3.1148357372363934e-05,-0.00914592957511134,0.018123109999999998,0.0013115786688397899,8.0,0.008524456853701463,0.005184712951467973,0.00584983049637672,0.016389943978920206,7.36463660750807e-05,9.10156525913636e-05,7.850171151033463e-05,9.513883542562151e-05,20.0,9.740453451951383,12.977766401079696,13.540468477694963,12.3835088968782,0.19437615170327777,0.34396255858282043,0.5156130148264491,0.07878152966565559
1,0.0,3.614441495697365e-05,0.012804641144116263,0.018422920000000002,0.0008803761907472101,1.0017201766816114e-05,-0.0031361311865470507,0.0013135100000000002,0.001038125481776447,-1.5357546495071983e-05,-0.008394968029567814,-0.002226,0.0013203720471757054,3.1148357372363934e-05,-0.00914592957511134,0.017627169999999998,0.0008189763448022653,16.0,0.009546007634490322,0.005290745977940917,0.005883352574667331,0.015994191447777407,8.805568554448264e-05,6.285940490360735e-05,6.405480140606977e-05,0.0004162215610595703,20.0,10.499351811610767,13.192071316848535,14.094827089772522,12.217132750873954,0.09609001799238942,0.38143477531474146,0.36919554537857674,0.11271462383790641
2,0.0,3.614441495697365e-05,0.012804641144116263,0.014902049999999998,0.00035801437320274316,1.0017201766816114e-05,-0.0031361311865470507,0.00079118,0.0003675553583232039,-1.5357546495071983e-05,-0.008394968029567814,-0.0018098000000000003,0.000623089643591207,3.1148357372363934e-05,-0.00914592957511134,0.014627000000000001,0.0003547962590446788,64.0,0.010441725048058246,0.005333321104128211,0.005944348112913203,0.01601790539466924,4.630537574668864e-05,3.9432185595432826e-05,3.848397782548554e-05,2.445973645556153e-05,20.0,10.703640695588584,13.178963252430492,13.988872041114869,12.030670276452046,0.03997077059036275,0.18812228891660904,0.24793208912484982,0.03331484764261923
3,0.0,3.614441495697365e-05,0.012804641144116263,0.029236779999999997,0.0025471476183331516,1.0017201766816114e-05,-0.0031361311865470507,0.01010572,0.0015036080394327887,-1.5357546495071983e-05,-0.008394968029567814,-0.014095580000000003,0.0026225341270620177,3.1148357372363934e-05,-0.00914592957511134,0.021586310000000004,0.002866146471468892,8.0,0.006031431479149599,0.004736933924019107,0.00513011674383425,0.015814160026922885,0.00021484588969703145,9.097594360481377e-05,0.0001934863664232862,0.00010921673138497145,16.0,14.11723922343505,11.879947344400723,13.607230688172086,13.22958003653936,0.5242622472242225,0.6195010281795816,0.919079729564522,0.24920667917860517
4,0.0,3.614441495697365e-05,0.012804641144116263,0.7843611300000002,0.1189813041493547,1.0017201766816114e-05,-0.0031361311865470507,0.4060644200000001,0.05976619755669691,-1.5357546495071983e-05,-0.008394968029567814,-0.34042713,0.049039288651936144,3.1148357372363934e-05,-0.00914592957511134,-0.57789828,0.09076666853388936,4.0,0.0015357362638281499,0.004976073995245106,0.004927378469572882,0.016188367435988525,0.0005240106822337292,0.0001603352097750935,0.0005210462884618721,0.00016008063911559923,16.0,5.997566887113133,12.535613277861279,11.866579901236754,13.869661959522494,2.723709326792657,0.6792282697725373,2.4725248858519877,0.24312456823541498
5,0.0,3.614441495697365e-05,0.012804641144116263,0.02520943,0.001160101988497584,1.0017201766816114e-05,-0.0031361311865470507,0.0049745,0.0008890840752367046,-1.5357546495071983e-05,-0.008394968029567814,-0.00247925,0.001445271437554163,3.1148357372363934e-05,-0.00914592957511134,0.024057610000000004,0.0012878146464332131,16.0,0.00836711680012955,0.004877652854825274,0.005423300512766112,0.015511161394533509,8.757493996311414e-05,9.037458028003472e-05,0.00011216553457428166,0.00014821478875825535,16.0,12.511940541352491,12.33465442314543,13.613925735074698,12.845590983488188,0.2505110524722882,0.3840685696975765,0.444426021801854,0.18203353643876682
6,0.0,3.614441495697365e-05,0.012804641144116263,0.02696411,0.0006483432983048332,1.0017201766816114e-05,-0.0031361311865470507,0.004194970000000002,0.000453565607175352,-1.5357546495071983e-05,-0.008394968029567814,-0.00017899999999999996,0.0006277068306026191,3.1148357372363934e-05,-0.00914592957511134,0.026541380000000003,0.0006607305750380586,64.0,0.01012790046312549,0.004922827644135741,0.005620467341278678,0.015200997464758694,6.191599533146656e-05,3.79472114684205e-05,5.581491978626068e-05,7.948910521404845e-05,16.0,12.110275835447494,12.299697082898204,13.700316440922432,12.714822628242423,0.16394341276051985,0.16360482577003796,0.16673178643411726,0.11626284660005119
7,0.0,3.614441495697365e-05,0.012804641144116263,0.04854289,0.0025298628052612742,1.0017201766816114e-05,-0.0031361311865470507,0.02608742,0.002034101445677831,-1.5357546495071983e-05,-0.008394968029567814,-0.03001516000000001,0.0028600634559652954,3.1148357372363934e-05,-0.00914592957511134,-0.025925410000000006,0.002603215160615194,4.0,0.007002234825012327,0.005566974427007219,0.00627677221437659,0.01642546195099419,0.00014740660175061656,0.00011299874183023226,0.00010014113380879207,8.403765223752183e-05,32.0,10.435171225531947,11.83761162055407,13.867291111699748,12.398607673181322,0.44064077382959743,0.39146672087052303,0.3086216511942574,0.1273186274964775
8,0.0,3.614441495697365e-05,0.012804641144116263,0.018518600000000003,0.0016185658029621531,1.0017201766816114e-05,-0.0031361311865470507,0.01264969,0.0022430757605942414,-1.5357546495071983e-05,-0.008394968029567814,-0.0055789,0.002256108998767788,3.1148357372363934e-05,-0.00914592957511134,0.0010269799999999996,0.0033329941752568808,8.0,0.008974065965964426,0.005513967347971995,0.0063556817766475815,0.016123956676333963,0.00016831044142713954,0.00011559071578260705,6.473903498750552e-05,7.116860603606192e-05,32.0,11.787808801546069,12.535625165842884,13.405808464724123,12.104571404353823,0.0981767650341425,0.2314645908822866,0.3017436372242815,0.08623172836470525
9,0.0,3.614441495697365e-05,0.012804641144116263,0.016328350000000002,0.0006403893692584685,1.0017201766816114e-05,-0.0031361311865470507,0.01013568,0.0006125988564819256,-1.5357546495071983e-05,-0.008394968029567814,0.0007207399999999999,0.0014271016234848471,3.1148357372363934e-05,-0.00914592957511134,0.01181774,0.0009615508911886459,16.0,0.010110031900088082,0.005687182019754175,0.006454941210955953,0.016452149632175856,4.011690397662216e-05,3.286652927358203e-05,5.29178712859741e-05,2.7089352737476643e-05,32.0,11.943023019935946,13.35760662300695,14.543344643883433,12.37812981514103,0.11762226061856933,0.14511280275622046,0.14430244616838994,0.05776466688071809
