All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:41:51
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.223	    -0.038	     0.062	     0.235
  0.006640	     0.210	    -0.041	     0.071	     0.225
  0.009960	     0.217	    -0.009	     0.065	     0.227
  0.013280	     0.214	    -0.015	     0.058	     0.222
  0.016600	     0.200	    -0.007	     0.072	     0.213
  0.019920	     0.207	    -0.028	     0.069	     0.220
  0.023240	     0.206	    -0.035	     0.052	     0.215
  0.026560	     0.201	     0.000	     0.068	     0.212
  0.029880	     0.220	    -0.029	     0.083	     0.237
  0.033200	     0.205	    -0.017	     0.074	     0.219
  0.036520	     0.209	    -0.012	     0.059	     0.217
  0.039840	     0.193	    -0.024	     0.073	     0.208
  0.043160	     0.222	    -0.022	     0.057	     0.230
  0.046480	     0.229	    -0.029	     0.044	     0.235
  0.049800	     0.200	    -0.021	     0.072	     0.214
  0.053120	     0.220	    -0.032	     0.052	     0.228
  0.056440	     0.194	    -0.033	     0.060	     0.206
  0.059760	     0.216	    -0.029	     0.035	     0.221
  0.063080	     0.227	     0.000	     0.056	     0.234
  0.066400	     0.214	    -0.027	     0.045	     0.220
  0.069720	     0.205	    -0.025	     0.090	     0.225
  0.073040	     0.216	    -0.001	     0.047	     0.221
  0.076360	     0.222	    -0.023	     0.053	     0.229
  0.079680	     0.225	    -0.015	     0.055	     0.232
  0.083000	     0.211	    -0.008	     0.067	     0.222
  0.086320	     0.229	    -0.032	     0.040	     0.235
  0.089640	     0.194	    -0.049	     0.078	     0.215
  0.092960	     0.203	    -0.012	     0.062	     0.213
  0.096280	     0.216	    -0.018	     0.056	     0.224
  0.099600	     0.223	    -0.018	     0.040	     0.227
  0.102920	     0.210	    -0.032	     0.038	     0.216
  0.106240	     0.234	    -0.037	     0.069	     0.247
  0.109560	     0.227	    -0.018	     0.052	     0.234
  0.112880	     0.214	    -0.031	     0.069	     0.227
  0.116200	     0.200	    -0.014	     0.067	     0.211
  0.119520	     0.187	    -0.013	     0.056	     0.196
  0.122840	     0.221	    -0.014	     0.070	     0.232
  0.126160	     0.207	    -0.034	     0.057	     0.217
  0.129480	     0.191	    -0.020	     0.078	     0.207
  0.132800	     0.225	    -0.032	     0.050	     0.233
  0.136120	     0.205	    -0.010	     0.062	     0.214
  0.139440	     0.223	    -0.029	     0.089	     0.242
  0.142760	     0.200	    -0.022	     0.028	     0.203
  0.146080	     0.202	    -0.014	     0.061	     0.211
  0.149400	     0.232	     0.000	     0.050	     0.237
  0.152720	     0.224	     0.004	     0.070	     0.235
  0.156040	     0.236	    -0.003	     0.068	     0.246
  0.159360	     0.207	    -0.037	     0.049	     0.216
  0.162680	     0.214	    -0.034	     0.081	     0.231
  0.166000	     0.211	    -0.017	     0.059	     0.220
  0.169320	     0.202	    -0.026	     0.076	     0.217
  0.172640	     0.228	    -0.034	     0.085	     0.246
  0.175960	     0.209	    -0.021	     0.055	     0.217
  0.179280	     0.220	    -0.031	     0.094	     0.241
  0.182600	     0.217	    -0.018	     0.083	     0.233
  0.185920	     0.184	    -0.035	     0.049	     0.194
  0.189240	     0.191	    -0.015	     0.050	     0.198
  0.192560	     0.213	    -0.028	     0.065	     0.224
