All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:45:24
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.372	    -0.050	     0.059	     0.380
  0.006640	     0.372	    -0.054	     0.057	     0.380
  0.009960	     0.391	    -0.065	     0.056	     0.400
  0.013280	     0.386	    -0.080	     0.084	     0.403
  0.016600	     0.380	    -0.072	     0.053	     0.390
  0.019920	     0.377	    -0.060	     0.063	     0.387
  0.023240	     0.387	    -0.033	     0.087	     0.398
  0.026560	     0.386	    -0.055	     0.050	     0.393
  0.029880	     0.377	    -0.068	     0.076	     0.391
  0.033200	     0.398	    -0.060	     0.053	     0.406
  0.036520	     0.409	    -0.054	     0.065	     0.418
  0.039840	     0.389	    -0.068	     0.049	     0.398
  0.043160	     0.359	    -0.060	     0.097	     0.377
  0.046480	     0.390	    -0.074	     0.049	     0.400
  0.049800	     0.372	    -0.058	     0.069	     0.383
  0.053120	     0.364	    -0.048	     0.077	     0.375
  0.056440	     0.376	    -0.048	     0.071	     0.386
  0.059760	     0.376	    -0.052	     0.067	     0.385
  0.063080	     0.380	    -0.074	     0.050	     0.390
  0.066400	     0.402	    -0.080	     0.066	     0.415
  0.069720	     0.373	    -0.045	     0.051	     0.379
  0.073040	     0.383	    -0.065	     0.056	     0.392
  0.076360	     0.409	    -0.052	     0.058	     0.416
  0.079680	     0.397	    -0.074	     0.099	     0.416
  0.083000	     0.356	    -0.044	     0.058	     0.363
  0.086320	     0.409	    -0.054	     0.055	     0.416
  0.089640	     0.379	    -0.067	     0.053	     0.389
  0.092960	     0.392	    -0.068	     0.069	     0.404
  0.096280	     0.409	    -0.053	     0.049	     0.415
  0.099600	     0.411	    -0.041	     0.058	     0.417
  0.102920	     0.386	    -0.071	     0.052	     0.396
  0.106240	     0.393	    -0.059	     0.051	     0.401
  0.109560	     0.390	    -0.077	     0.069	     0.403
  0.112880	     0.394	    -0.035	     0.058	     0.400
  0.116200	     0.411	    -0.063	     0.058	     0.420
  0.119520	     0.402	    -0.056	     0.061	     0.410
  0.122840	     0.403	    -0.082	     0.061	     0.416
  0.126160	     0.390	    -0.057	     0.053	     0.398
  0.129480	     0.386	    -0.044	     0.046	     0.391
  0.132800	     0.405	    -0.080	     0.068	     0.418
  0.136120	     0.407	    -0.066	     0.048	     0.415
  0.139440	     0.391	    -0.070	     0.058	     0.401
  0.142760	     0.415	    -0.045	     0.081	     0.425
  0.146080	     0.392	    -0.070	     0.073	     0.405
  0.149400	     0.405	    -0.069	     0.069	     0.417
  0.152720	     0.382	    -0.074	     0.053	     0.393
  0.156040	     0.388	    -0.031	     0.050	     0.392
  0.159360	     0.405	    -0.040	     0.036	     0.409
  0.162680	     0.401	    -0.074	     0.053	     0.411
  0.166000	     0.392	    -0.048	     0.048	     0.398
  0.169320	     0.414	    -0.057	     0.086	     0.427
  0.172640	     0.371	    -0.071	     0.065	     0.383
  0.175960	     0.387	    -0.053	     0.060	     0.395
  0.179280	     0.385	    -0.075	     0.061	     0.397
  0.182600	     0.385	    -0.066	     0.077	     0.398
  0.185920	     0.372	    -0.049	     0.059	     0.380
  0.189240	     0.390	    -0.066	     0.070	     0.402
  0.192560	     0.396	    -0.066	     0.081	     0.410
  0.195880	     0.387	    -0.058	     0.042	     0.394
  0.199200	     0.362	    -0.073	     0.062	     0.374
  0.202520	     0.391	    -0.044	     0.072	     0.400
  0.205840	     0.389	    -0.074	     0.053	     0.400
  0.209160	     0.369	    -0.046	     0.061	     0.377
  0.212480	     0.377	    -0.047	     0.058	     0.384
  0.215800	     0.366	    -0.051	     0.051	     0.373
  0.219120	     0.389	    -0.054	     0.071	     0.399
  0.222440	     0.380	    -0.059	     0.074	     0.392
  0.225760	     0.388	    -0.046	     0.040	     0.393
  0.229080	     0.374	    -0.068	     0.104	     0.394
  0.232400	     0.389	    -0.056	     0.028	     0.394
  0.235720	     0.373	    -0.081	     0.064	     0.387
  0.239040	     0.409	    -0.037	     0.061	     0.415
  0.242360	     0.373	    -0.054	     0.035	     0.379
  0.245680	     0.382	    -0.053	     0.058	     0.390
  0.249000	     0.383	    -0.067	     0.059	     0.393
  0.252320	     0.382	    -0.065	     0.077	     0.395
  0.255640	     0.390	    -0.054	     0.065	     0.399
  0.258960	     0.366	    -0.051	     0.029	     0.371
  0.262280	     0.377	    -0.075	     0.072	     0.391
  0.265600	     0.382	    -0.050	     0.066	     0.391
  0.268920	     0.387	    -0.087	     0.075	     0.404
  0.272240	     0.413	    -0.025	     0.029	     0.415
  0.275560	     0.372	    -0.063	     0.082	     0.386
  0.278880	     0.388	    -0.045	     0.071	     0.397
  0.282200	     0.380	    -0.064	     0.049	     0.388
  0.285520	     0.394	    -0.074	     0.059	     0.405
  0.288840	     0.376	    -0.045	     0.060	     0.383
  0.292160	     0.379	    -0.057	     0.087	     0.393
  0.295480	     0.364	    -0.069	     0.078	     0.379
  0.298800	     0.387	    -0.060	     0.050	     0.395
  0.302120	     0.386	    -0.081	     0.040	     0.396
  0.305440	     0.368	    -0.062	     0.056	     0.377
  0.308760	     0.368	    -0.064	     0.055	     0.378
  0.312080	     0.390	    -0.057	     0.065	     0.399
  0.315400	     0.395	    -0.077	     0.065	     0.408
  0.318720	     0.384	    -0.076	     0.078	     0.399
  0.322040	     0.358	    -0.056	     0.065	     0.368
  0.325360	     0.405	    -0.075	     0.059	     0.416
  0.328680	     0.380	    -0.031	     0.087	     0.391
  0.332000	     0.379	    -0.055	     0.070	     0.389
  0.335320	     0.392	    -0.085	     0.056	     0.405
  0.338640	     0.391	    -0.066	     0.047	     0.399
  0.341960	     0.386	    -0.078	     0.047	     0.397
  0.345280	     0.393	    -0.042	     0.052	     0.399
  0.348600	     0.359	    -0.054	     0.026	     0.364
  0.351920	     0.361	    -0.068	     0.080	     0.376
  0.355240	     0.395	    -0.044	     0.078	     0.405
  0.358560	     0.392	    -0.072	     0.065	     0.404
  0.361880	     0.380	    -0.062	     0.050	     0.388
  0.365200	     0.368	    -0.049	     0.098	     0.384
  0.368520	     0.405	    -0.065	     0.062	     0.415
  0.371840	     0.399	    -0.052	     0.057	     0.406
  0.375160	     0.387	    -0.056	     0.068	     0.397
  0.378480	     0.375	    -0.082	     0.063	     0.389
  0.381800	     0.380	    -0.063	     0.061	     0.390
  0.385120	     0.407	    -0.078	     0.056	     0.418
  0.388440	     0.407	    -0.044	     0.070	     0.415
  0.391760	     0.393	    -0.093	     0.046	     0.406
  0.395080	     0.397	    -0.072	     0.051	     0.407
  0.398400	     0.388	    -0.064	     0.034	     0.395
  0.401720	     0.397	    -0.061	     0.056	     0.406
  0.405040	     0.381	    -0.073	     0.041	     0.390
  0.408360	     0.356	    -0.087	     0.077	     0.374
  0.411680	     0.379	    -0.048	     0.053	     0.386
  0.415000	     0.386	    -0.062	     0.078	     0.399
  0.418320	     0.389	    -0.070	     0.057	     0.399
  0.421640	     0.372	    -0.063	     0.069	     0.384
  0.424960	     0.404	    -0.051	     0.040	     0.409
  0.428280	     0.384	    -0.068	     0.047	     0.393
  0.431600	     0.390	    -0.063	     0.061	     0.400
  0.434920	     0.369	    -0.027	     0.049	     0.373
  0.438240	     0.368	    -0.055	     0.040	     0.374
  0.441560	     0.360	    -0.071	     0.063	     0.372
  0.444880	     0.379	    -0.050	     0.063	     0.387
  0.448200	     0.362	    -0.045	     0.071	     0.372
