All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:49:38
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.594	    -0.086	     0.082	     0.606
  0.006640	     0.597	    -0.110	     0.040	     0.608
  0.009960	     0.575	    -0.109	     0.049	     0.587
  0.013280	     0.592	    -0.082	     0.081	     0.603
  0.016600	     0.597	    -0.109	     0.049	     0.609
  0.019920	     0.579	    -0.098	     0.074	     0.592
  0.023240	     0.585	    -0.100	     0.049	     0.596
  0.026560	     0.587	    -0.117	     0.068	     0.602
  0.029880	     0.579	    -0.097	     0.073	     0.592
  0.033200	     0.596	    -0.097	     0.066	     0.607
  0.036520	     0.590	    -0.090	     0.064	     0.600
  0.039840	     0.576	    -0.081	     0.087	     0.588
  0.043160	     0.572	    -0.105	     0.058	     0.584
  0.046480	     0.559	    -0.100	     0.065	     0.572
  0.049800	     0.582	    -0.109	     0.067	     0.596
  0.053120	     0.594	    -0.099	     0.078	     0.607
  0.056440	     0.580	    -0.105	     0.068	     0.593
  0.059760	     0.611	    -0.089	     0.049	     0.619
  0.063080	     0.586	    -0.096	     0.049	     0.596
  0.066400	     0.611	    -0.078	     0.064	     0.619
  0.069720	     0.608	    -0.096	     0.071	     0.620
  0.073040	     0.587	    -0.125	     0.093	     0.607
  0.076360	     0.597	    -0.109	     0.089	     0.613
  0.079680	     0.579	    -0.119	     0.096	     0.599
  0.083000	     0.617	    -0.114	     0.077	     0.632
  0.086320	     0.599	    -0.103	     0.089	     0.614
  0.089640	     0.611	    -0.111	     0.065	     0.624
  0.092960	     0.609	    -0.087	     0.087	     0.621
  0.096280	     0.591	    -0.113	     0.065	     0.605
  0.099600	     0.577	    -0.116	     0.083	     0.594
  0.102920	     0.579	    -0.075	     0.078	     0.589
  0.106240	     0.605	    -0.105	     0.072	     0.618
  0.109560	     0.584	    -0.094	     0.072	     0.596
  0.112880	     0.594	    -0.097	     0.081	     0.607
  0.116200	     0.591	    -0.100	     0.096	     0.607
  0.119520	     0.599	    -0.103	     0.089	     0.614
  0.122840	     0.602	    -0.080	     0.066	     0.611
  0.126160	     0.614	    -0.099	     0.077	     0.627
  0.129480	     0.588	    -0.105	     0.072	     0.602
  0.132800	     0.576	    -0.082	     0.098	     0.590
  0.136120	     0.584	    -0.111	     0.081	     0.600
  0.139440	     0.624	    -0.113	     0.041	     0.635
  0.142760	     0.585	    -0.090	     0.075	     0.597
  0.146080	     0.580	    -0.085	     0.056	     0.589
  0.149400	     0.585	    -0.102	     0.063	     0.597
  0.152720	     0.592	    -0.119	     0.052	     0.606
  0.156040	     0.564	    -0.105	     0.075	     0.579
  0.159360	     0.585	    -0.113	     0.070	     0.600
  0.162680	     0.581	    -0.084	     0.073	     0.592
  0.166000	     0.612	    -0.099	     0.062	     0.623
  0.169320	     0.613	    -0.090	     0.034	     0.621
  0.172640	     0.602	    -0.114	     0.068	     0.616
  0.175960	     0.622	    -0.091	     0.070	     0.633
  0.179280	     0.589	    -0.088	     0.051	     0.598
  0.182600	     0.620	    -0.102	     0.090	     0.635
  0.185920	     0.587	    -0.090	     0.047	     0.596
  0.189240	     0.597	    -0.091	     0.075	     0.609
  0.192560	     0.584	    -0.088	     0.043	     0.592
  0.195880	     0.598	    -0.103	     0.078	     0.612
  0.199200	     0.623	    -0.109	     0.090	     0.639
  0.202520	     0.582	    -0.102	     0.087	     0.597
  0.205840	     0.618	    -0.079	     0.083	     0.629
  0.209160	     0.610	    -0.094	     0.073	     0.622
  0.212480	     0.564	    -0.085	     0.067	     0.574
  0.215800	     0.590	    -0.107	     0.045	     0.601
  0.219120	     0.606	    -0.086	     0.070	     0.616
  0.222440	     0.581	    -0.106	     0.047	     0.592
  0.225760	     0.579	    -0.111	     0.043	     0.591
  0.229080	     0.588	    -0.120	     0.092	     0.607
  0.232400	     0.600	    -0.113	     0.054	     0.613
  0.235720	     0.614	    -0.116	     0.081	     0.630
  0.239040	     0.585	    -0.094	     0.068	     0.596
  0.242360	     0.621	    -0.133	     0.069	     0.639
  0.245680	     0.603	    -0.116	     0.065	     0.617
  0.249000	     0.595	    -0.088	     0.065	     0.605
  0.252320	     0.562	    -0.104	     0.053	     0.574
  0.255640	     0.598	    -0.113	     0.034	     0.610
  0.258960	     0.563	    -0.118	     0.048	     0.577
  0.262280	     0.588	    -0.100	     0.046	     0.598
  0.265600	     0.578	    -0.117	     0.065	     0.593
  0.268920	     0.614	    -0.116	     0.044	     0.626
  0.272240	     0.601	    -0.098	     0.047	     0.611
  0.275560	     0.630	    -0.087	     0.080	     0.641
  0.278880	     0.597	    -0.081	     0.041	     0.604
  0.282200	     0.595	    -0.089	     0.081	     0.607
  0.285520	     0.596	    -0.099	     0.059	     0.607
  0.288840	     0.586	    -0.136	     0.047	     0.603
  0.292160	     0.590	    -0.123	     0.064	     0.606
  0.295480	     0.590	    -0.075	     0.077	     0.600
  0.298800	     0.614	    -0.097	     0.077	     0.626
  0.302120	     0.588	    -0.082	     0.064	     0.597
  0.305440	     0.600	    -0.122	     0.053	     0.615
  0.308760	     0.587	    -0.103	     0.075	     0.601
  0.312080	     0.583	    -0.085	     0.071	     0.593
  0.315400	     0.579	    -0.100	     0.067	     0.591
  0.318720	     0.567	    -0.119	     0.061	     0.583
  0.322040	     0.597	    -0.096	     0.073	     0.609
  0.325360	     0.576	    -0.091	     0.059	     0.586
  0.328680	     0.596	    -0.119	     0.056	     0.610
  0.332000	     0.592	    -0.099	     0.065	     0.604
  0.335320	     0.602	    -0.102	     0.038	     0.612
  0.338640	     0.582	    -0.089	     0.050	     0.591
  0.341960	     0.608	    -0.081	     0.061	     0.616
  0.345280	     0.610	    -0.080	     0.066	     0.619
  0.348600	     0.594	    -0.096	     0.048	     0.604
  0.351920	     0.581	    -0.097	     0.081	     0.595
  0.355240	     0.621	    -0.110	     0.073	     0.635
  0.358560	     0.589	    -0.137	     0.065	     0.608
  0.361880	     0.616	    -0.085	     0.080	     0.627
  0.365200	     0.595	    -0.094	     0.064	     0.606
  0.368520	     0.592	    -0.092	     0.051	     0.601
  0.371840	     0.578	    -0.100	     0.056	     0.589
  0.375160	     0.594	    -0.091	     0.048	     0.603
  0.378480	     0.593	    -0.112	     0.049	     0.605
  0.381800	     0.584	    -0.106	     0.071	     0.598
  0.385120	     0.580	    -0.085	     0.071	     0.590
  0.388440	     0.576	    -0.103	     0.041	     0.587
  0.391760	     0.586	    -0.104	     0.056	     0.598
