All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:20:21
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.186	     0.199	     0.040	     0.275
  0.006640	     0.170	     0.221	     0.047	     0.283
  0.009960	     0.178	     0.233	     0.052	     0.298
  0.013280	     0.160	     0.225	     0.042	     0.279
  0.016600	     0.166	     0.239	     0.045	     0.294
  0.019920	     0.175	     0.240	     0.057	     0.302
  0.023240	     0.189	     0.215	     0.033	     0.288
  0.026560	     0.198	     0.190	     0.062	     0.281
  0.029880	     0.174	     0.202	     0.058	     0.273
  0.033200	     0.194	     0.219	     0.027	     0.294
  0.036520	     0.168	     0.229	     0.037	     0.286
  0.039840	     0.199	     0.179	     0.032	     0.270
  0.043160	     0.166	     0.215	     0.086	     0.285
  0.046480	     0.181	     0.186	     0.056	     0.266
  0.049800	     0.190	     0.212	     0.049	     0.289
  0.053120	     0.192	     0.194	     0.079	     0.284
  0.056440	     0.178	     0.208	     0.062	     0.281
  0.059760	     0.158	     0.207	     0.071	     0.270
  0.063080	     0.172	     0.217	     0.069	     0.285
  0.066400	     0.178	     0.214	     0.064	     0.286
  0.069720	     0.170	     0.215	     0.058	     0.280
  0.073040	     0.168	     0.220	     0.059	     0.283
  0.076360	     0.180	     0.219	     0.059	     0.290
  0.079680	     0.188	     0.213	     0.042	     0.287
  0.083000	     0.187	     0.210	     0.059	     0.287
  0.086320	     0.196	     0.191	     0.069	     0.282
  0.089640	     0.171	     0.226	     0.050	     0.288
  0.092960	     0.179	     0.224	     0.074	     0.296
  0.096280	     0.169	     0.225	     0.060	     0.288
  0.099600	     0.171	     0.208	     0.026	     0.271
  0.102920	     0.176	     0.206	     0.054	     0.276
  0.106240	     0.182	     0.218	     0.044	     0.287
  0.109560	     0.179	     0.214	     0.046	     0.283
  0.112880	     0.200	     0.199	     0.054	     0.287
  0.116200	     0.190	     0.210	     0.045	     0.287
  0.119520	     0.173	     0.200	     0.055	     0.270
  0.122840	     0.172	     0.201	     0.053	     0.270
  0.126160	     0.182	     0.175	     0.041	     0.256
  0.129480	     0.173	     0.202	     0.058	     0.272
  0.132800	     0.200	     0.233	     0.077	     0.317
  0.136120	     0.181	     0.208	     0.055	     0.281
  0.139440	     0.174	     0.204	     0.046	     0.272
  0.142760	     0.200	     0.188	     0.069	     0.283
  0.146080	     0.184	     0.215	     0.077	     0.293
  0.149400	     0.189	     0.193	     0.042	     0.273
  0.152720	     0.202	     0.233	     0.065	     0.315
  0.156040	     0.183	     0.219	     0.071	     0.294
  0.159360	     0.195	     0.204	     0.025	     0.283
  0.162680	     0.170	     0.222	     0.057	     0.285
  0.166000	     0.181	     0.180	     0.050	     0.260
  0.169320	     0.184	     0.215	     0.045	     0.287
  0.172640	     0.181	     0.202	     0.054	     0.277
  0.175960	     0.187	     0.194	     0.030	     0.271
  0.179280	     0.156	     0.212	     0.040	     0.266
  0.182600	     0.172	     0.231	     0.062	     0.295
  0.185920	     0.167	     0.211	     0.055	     0.275
  0.189240	     0.160	     0.230	     0.064	     0.287
  0.192560	     0.189	     0.204	     0.053	     0.283
