,B_labx,B_laby,B_labz,glor,D,Mz1,Mz2,Mz3,Mz4,fraction,CURR_X,CURR_Y,CURR_Z,coil_BX,coil_BY,coil_BZ
0,180.23143576125995,71.90839677266017,35.776577922538856,13.410964812259774,2870,1.6532699722172666,1.7227704672902995,1.9289846571847846,1.9930162912765823,0.5898114291720205,-0.0,0.0,0.0,0.24495759,1.1899290999999999,0.03419481
1,180.91779042766362,72.21282761941251,35.788025511555375,13.56530317956905,2870,1.7277798515717198,1.7180628259609882,1.9399098570523066,2.1605240289836622,0.6528094697943404,-100.15,0.0,0.0,-1087.9459530135,1.1899290999999999,0.03419481
2,181.67289738295838,72.44670598999589,35.779117899942726,13.589961892953653,2870,1.7665734890081826,1.7094488070183882,1.9273619246663998,2.157309012634867,0.6221543413870166,-200.23,0.0,0.0,-2175.3762708687,1.1899290999999999,0.03419481
3,182.37880027888843,72.7231848838318,35.7931989190992,13.671158546053325,2870,1.8183865682493323,1.6668482559899278,1.8323058745777345,2.15310239882189,0.640347141922682,-300.13,0.0,0.0,-3260.8507787997,1.1899290999999999,0.03419481
4,183.0855111101944,72.9949666197755,35.79820288109581,14.001218970710076,2870,1.8399337123966362,1.6640442092125252,1.8930705023651093,2.1572657077372455,0.6555498887795181,-400.05,0.0,0.0,-4346.5425989445,1.1899290999999999,0.03419481
5,183.79558591531995,73.31830627083616,35.83820977248882,13.916742761727486,2870,1.9990866594793602,1.5779876480942594,1.7569831922857624,2.111545954804326,0.6570265116061088,-500.13,0.0,0.0,-5433.972916799699,1.1899290999999999,0.03419481
6,180.42740598755927,72.01298634861672,35.7971779538093,13.393472620295293,2870,1.751884392757157,1.8275320407311177,2.0165441889497657,2.1172726633466343,0.5767838457556241,0.0,0.0,0.0,0.24495759,1.1899290999999999,0.03419481
7,179.64714604062573,71.709835180141,35.81047113982883,13.36518085598809,2870,1.6950742018199279,1.7472336890628988,1.9295348093691285,2.1667252024190766,0.5656241321903462,100.26,0.0,0.0,1089.6310853694001,1.1899290999999999,0.03419481
8,178.87989292559737,71.42036251253505,35.779341248452255,13.293384970499448,2870,1.6513157358374837,1.7022491381254738,1.8527035390104416,2.1527498196751704,0.5421925947254262,200.29,0.0,0.0,2176.5181226901,1.1899290999999999,0.03419481
9,178.06424180041114,71.1553676626945,35.75129336398082,13.178961109493088,2870,1.6126174574476266,1.802583239083722,1.8428811092848782,2.057402880330306,0.596350044079936,300.72,0.0,0.0,3267.7514042868006,1.1899290999999999,0.03419481
10,177.2757976666157,70.88419040669807,35.71959319237343,13.10131117799092,2870,1.7288304235939638,1.9196261590557313,1.722666672112771,2.138751860556658,0.5320954956225469,400.04,0.0,0.0,4346.923858017601,1.1899290999999999,0.03419481
11,176.4948547876873,70.60428407670652,35.693210788151994,13.326505208077371,2870,1.794902411145065,2.0206309192588634,1.6842718353345525,1.960664131843469,0.5375163222870305,500.27,0.0,0.0,5435.984017476301,1.1899290999999999,0.03419481
12,179.9406560648106,71.81188136591301,35.69828024957145,13.616852360819953,2870,1.6086255402618441,1.684282007962432,1.8379249512579428,1.9897666698969214,0.5796843155039151,0.0,-0.0,0.0,0.24495759,1.1899290999999999,0.03419481
13,180.21555915188213,70.97514690897972,35.67026181680113,13.669445180842303,2870,1.5681729875926838,1.7549117238209924,1.8720864797994459,1.8906120250819463,0.5569890125030355,0.0,-100.18,0.0,0.24495759,-893.0193475656,0.03419481
14,180.43142643107913,70.16726206444818,35.68237882124039,13.506881058260428,2870,1.5453962424979863,1.7107980376249508,1.9718234241331007,1.9992743641160349,0.5787970064485755,0.0,-200.45,0.0,0.24495759,-1788.031966564,0.03419481
15,180.71607818471395,69.32452081788085,35.63348196522986,13.577282636793614,2870,1.5827057452909408,1.7625089675586363,1.866288386883765,1.9578129354584917,0.546884753665659,0.0,-300.09,0.0,0.24495759,-2677.4211892328003,0.03419481
16,180.9788740136696,68.48368087779377,35.60983940867748,13.66330290550536,2870,1.6120154885197593,1.900458513845713,1.8340493746065452,2.166727642727505,0.5311263174411985,0.0,-400.47,0.0,0.24495759,-3573.4156710824004,0.03419481
17,181.2880306601649,67.64450172444776,35.61236017008584,13.695811642226335,2870,1.6271780252694796,1.8794014478480197,1.7212234256803143,2.0474361681270477,0.6175651016493573,0.0,-500.01,0.0,0.24495759,-4461.9122911592,0.03419481
18,180.0082293185854,71.87155764161031,35.758225685905785,13.615359984251413,2870,1.6177148519987625,1.7180987422984817,1.8317558034804886,2.027798279960443,0.6032471722222786,0.0,0.0,0.0,0.24495759,1.1899290999999999,0.03419481
19,179.66589925209624,72.6966775152611,35.740964812737786,13.63852628926927,2870,1.6901601699148685,1.7401787791419778,1.8397194960777234,1.9531597796289173,0.7335062835830725,0.0,100.15,0.0,0.24495759,895.131424988,0.03419481
20,179.34567846764108,73.49082467243558,35.71055770103118,13.852143025573222,2870,1.7154882328422296,1.7814608611034082,1.8772278915426828,2.163410484548905,0.6372307989299776,0.0,200.23,0.0,0.24495759,1788.4480990616,0.03419481
21,179.0465133016574,74.2851866754406,35.65618753567017,13.946878364357907,2870,1.6294382659162885,1.7929471402727657,1.9945539541510744,2.075531342273857,0.6785299523263902,0.0,300.32,0.0,0.24495759,2681.8540333943997,0.03419481
22,178.74460341638652,75.1154651986383,35.688981967317844,13.974129941083605,2870,1.6550346115999908,1.7606414309895193,1.8474722773991399,2.1219517717619123,0.7449424007194564,0.0,400.11,0.0,0.24495759,3572.5821599512,0.03419481
23,178.4306008725157,75.93063105125336,35.680862873441946,13.874951255773654,2870,1.636702504931824,1.7850267817095578,1.8165436393018553,2.06661906523815,0.6908053688616963,0.0,500.35,0.0,0.24495759,4467.3269981720005,0.03419481
24,179.70587017973935,71.75970018633666,35.66836878958575,13.452768282572613,2870,1.5751569913523422,1.6273238445096503,1.8012609122956427,1.925634685494778,0.7307937767263053,0.0,0.0,-0.0,0.24495759,1.1899290999999999,0.03419481
25,179.70166822579188,71.74179521058288,36.76146747379803,13.857116490234011,2870,1.653227206542013,1.7119031258808626,1.8267903982388987,2.0144143238679284,0.5982184628090428,0.0,0.0,-100.5,0.24495759,1.1899290999999999,-814.388003925
26,179.64020998125756,71.78490639898591,37.85530219579374,14.008951976943319,2870,1.8016239259985323,1.89735041723279,1.9362225242697821,2.227513511886661,0.5986803560082737,0.0,0.0,-200.2,0.24495759,1.1899290999999999,-1622.327239884
27,179.6658169983231,71.79976533856195,38.949367274557,13.914758472215565,2870,1.7140184659946982,1.8966295219300573,1.9114917545675496,2.1648433812235783,0.6318595284207658,0.0,0.0,-300.1,0.24495759,1.1899290999999999,-2431.8872165370003
28,179.65575783799346,71.84842901254214,40.04845840529725,13.55240002945032,2870,1.6545923156209064,1.8661611068274588,1.725018567488112,2.0930660082585426,0.5330500978792695,0.0,0.0,-400.0,0.24495759,1.1899290999999999,-3241.44719319
29,179.6268208072101,71.89175513134838,41.16941523181974,13.340040443696655,2870,1.596310111016308,1.8602403201117,1.5736475829341696,2.055069347410708,0.4880940880730876,0.0,0.0,-500.2,0.24495759,1.1899290999999999,-4053.438280884
30,179.8402738310665,71.77931285238863,35.63123326506346,13.428595022015713,2870,1.5483524277088545,1.5532627502515481,1.7279832490194948,1.8769523286730063,0.6776541698816537,0.0,0.0,0.0,0.24495759,1.1899290999999999,0.03419481
31,179.8423580479297,71.73557240498327,34.53927507184711,13.558735826147169,2870,1.4721945299575783,1.7060743255269006,1.7517425182895643,1.843583484250706,0.5454121188966895,0.0,0.0,100.0,0.24495759,1.1899290999999999,810.4045418099998
32,179.80345195972717,71.7231304174617,33.43977984133528,13.573950835725269,2870,1.5770591901816928,1.7598348343972585,1.8431332356025933,1.85963751667418,0.6006753402399176,0.0,0.0,200.1,0.24495759,1.1899290999999999,1621.585259157
33,179.77966000393363,71.68799525921816,32.30976462695978,13.78176525926371,2870,1.6110755776431933,1.8148384232067531,1.7562777444908662,1.9015629150318407,0.6425148253369446,0.0,0.0,300.4,0.24495759,1.1899290999999999,2434.386717198
34,179.74646170193378,71.68040577408281,31.16353751753178,13.738112133436834,2870,1.7020623607424152,1.8108210515298158,1.852863966613036,1.8245711592919083,0.6776246800302225,0.0,0.0,400.7,0.24495759,1.1899290999999999,3247.188175239
35,179.79330980616203,71.63501272300148,30.075295912933143,13.666632019787142,2870,1.6082602984228274,1.6921878581607412,1.7075371502755061,1.845074094069009,0.7531788864031516,0.0,0.0,500.3,0.24495759,1.1899290999999999,4054.3170408509995
