B index,Bmod coil (mT),Bmod coil stderr (mT),Bmod measured (mT),Bmod measured stderr (mT),Bx coil (mT),Bx coil stderr (mT),Bx measured (mT),Bx measured stderr (mT),By coil (mT),By coil stderr (mT),By measured (mT),By measured stderr (mT),Bz coil (mT),Bz coil stderr (mT),Bz measured (mT),Bz measured stderr (mT),avg,dev (MHz),point count,step (MHz)
0.0,3.614441495697365e-05,0.012804641144116263,0.012756759999999999,0.0006498527497408002,1.0017201766816114e-05,-0.0031361311865470507,-0.00224624,0.00045562698280149095,-1.5357546495071983e-05,-0.008394968029567814,-0.0029235599999999995,0.0006391418349901436,3.1148357372363934e-05,-0.00914592957511134,0.01204773,0.0005471322283698773,8.0,20.0,800.0,0.2
0.0,3.614441495697365e-05,0.012804641144116263,0.012851780000000002,0.0010586481074966187,1.0017201766816114e-05,-0.0031361311865470507,-0.00085331,0.00061055596571617,-1.5357546495071983e-05,-0.008394968029567814,-0.00206925,0.0017084372069052674,3.1148357372363934e-05,-0.00914592957511134,0.011650069999999998,0.0009196589135632278,8.0,20.0,320.0,0.5
0.0,3.614441495697365e-05,0.012804641144116263,0.02063986,0.0013247456825769138,1.0017201766816114e-05,-0.0031361311865470507,0.0029151100000000003,0.0019719546826642547,-1.5357546495071983e-05,-0.008394968029567814,-0.0074716900000000004,0.0024222323812962297,3.1148357372363934e-05,-0.00914592957511134,0.016914270000000006,0.0011536189931025378,8.0,20.0,160.0,1.0
3.0,0.30001084103183007,0.012804641144116263,0.3170574300000001,0.0006824167337711367,0.10365291050137015,-0.0031361311865470507,0.10576963,0.0006201887506494284,0.1426820869904912,-0.008394968029567814,0.14016987,0.0010442346600250017,0.24270228868566296,-0.00914592957511134,0.26397147,0.00043181715839455553,8.0,20.0,800.0,0.2
3.0,0.30001084103183007,0.012804641144116263,0.3236855900000001,0.0008549704009676971,0.10365291050137015,-0.0031361311865470507,0.10723113000000001,0.00048628744104797534,0.1426820869904912,-0.008394968029567814,0.14041632,0.0012103265481005667,0.24270228868566296,-0.00914592957511134,0.27119054000000004,0.0007816032611415833,8.0,20.0,320.0,0.5
3.0,0.30001084103183007,0.012804641144116263,0.32674559000000003,0.0008024238236142468,0.10365291050137015,-0.0031361311865470507,0.11120205,0.0027434325175018284,0.1426820869904912,-0.008394968029567814,0.14377368,0.0010643556752361518,0.24270228868566296,-0.00914592957511134,0.27138137,0.0012737511842081282,8.0,20.0,160.0,1.0
