B index,sensitivity (nT/Hz1/2),sensitivity stderr (nT/Hz1/2)
0.0,1.810072859524972,0.004532831085499311
1.0,1.7775506336495663,0.004015230825702691
3.0,1.7986240883868065,0.0053284355330928505
5.0,1.8019467618823886,0.004414688609577397
mean,1.7970485858609333,0.0044098479458352866
