,Bx_coil_r1 (mT),By_coil_r1 (mT),Bz_coil_r1 (mT),B_coil_r1 (mT),Bx_measured_r1 (mT),By_measured_r1 (mT),Bz_measured_r1 (mT),B_measured_r1 (mT),Bx_measured_std_r1 (mT),By_measured_std_r1 (mT),Bz_measured_std_r1 (mT),B_measured_std_r1 (mT),Bx_coil_r2 (mT),By_coil_r2 (mT),Bz_coil_r2 (mT),B_coil_r2 (mT),Bx_measured_r2 (mT),By_measured_r2 (mT),Bz_measured_r2 (mT),B_measured_r2 (mT),Bx_measured_std_r2 (mT),By_measured_std_r2 (mT),Bz_measured_std_r2 (mT),B_measured_std_r2 (mT),Bx_coil_r3 (mT),By_coil_r3 (mT),Bz_coil_r3 (mT),B_coil_r3 (mT),Bx_measured_r3 (mT),By_measured_r3 (mT),Bz_measured_r3 (mT),B_measured_r3 (mT),Bx_measured_std_r3 (mT),By_measured_std_r3 (mT),Bz_measured_std_r3 (mT),B_measured_std_r3 (mT),Bx_coil_r4 (mT),By_coil_r4 (mT),Bz_coil_r4 (mT),B_coil_r4 (mT),Bx_measured_r4 (mT),By_measured_r4 (mT),Bz_measured_r4 (mT),B_measured_r4 (mT),Bx_measured_std_r4 (mT),By_measured_std_r4 (mT),Bz_measured_std_r4 (mT),B_measured_std_r4 (mT),Bx_coil_mean (mT),By_coil_mean (mT),Bz_coil_mean (mT),B_coil_mean (mT),Bx_measured_mean (mT),By_measured_mean (mT),Bz_measured_mean (mT),B_measured_mean (mT),Bx_measured_std_mean (mT),By_measured_std_mean (mT),Bz_measured_std_mean (mT),B_measured_std_mean (mT),diff_Bx (mT),diff_By (mT),diff_Bz (mT),diff_B (mT)
0,0.3499446761238513,-0.008846942705030204,3.1148357372363934e-05,0.3500564893169007,0.36879294,-0.00826978,0.02196761,0.36965186,0.0016337579917478588,0.002450609929738581,0.001850139815644573,0.0016853722832524422,0.3499603286033951,-0.008846942705030204,3.1148357372363934e-05,0.3500721367970358,0.35937925000000004,-0.00869924,0.02199631,0.36022726999999993,0.001232051800250294,0.001654451731353253,0.0017676579932812543,0.0013210464247919358,0.36566759182564873,-0.008846942705030204,3.1148357372363934e-05,0.36577459873126167,0.35557688,-0.01393701,0.023218700000000002,0.35672133,0.0011439510925637414,0.0014945271372912572,0.002686835692904698,0.0012912105839998909,0.35003076476134243,-0.008846942705030204,3.1148357372363934e-05,0.3501425504631742,0.36230798999999997,-0.0005724499999999998,0.01804307,0.36290258,0.0019316138672364081,0.0025504334279251003,0.0023504616314460446,0.00201400000015447,0.3539008403285594,-0.008846942705030204,3.1148357372363934e-05,0.3540114438270931,0.361514265,-0.007869619999999999,0.021306422499999998,0.36237576000000005,0.0030375768382672657,0.004181031163898314,0.0043921962661305465,0.003210773140922082,-0.007613424671440594,-0.0009773227050302049,-0.021275274142627636,-0.008364316172906916
1,0.32328850346067456,-0.008846942705030204,0.13393305819043003,0.3500454098275105,0.33609059,-0.00986362,0.16595419,0.37499393000000003,0.0016658853973154602,0.0015279988581147564,0.0013874643641029326,0.0020508966031713986,0.3233902445777096,-0.008846942705030204,0.13393305819043003,0.35013937619110774,0.33049579,-0.00966908,0.16036427,0.36765443,0.002980476584465048,0.003203077679281461,0.002508759884442688,0.0032795609184445547,0.32330415594021844,-0.008846942705030204,0.13393305819043003,0.35005986590822474,0.33228715000000003,-0.009929400000000001,0.15819528,0.36822288999999997,0.0020342338344366074,0.0017620821170800563,0.002084858296959294,0.0024787833796912034,0.3233354608993061,-0.008846942705030204,0.13393305819043003,0.3500887783783335,0.33515131,-0.01038203,0.16703009000000002,0.37471575,0.0029535518037121207,0.0021585790851622742,0.0019177998204800554,0.0028845508549377704,0.3233295912194772,-0.008846942705030204,0.13393305819043003,0.35008335757629416,0.33350621,-0.0099610325,0.16288595749999998,0.37139675,0.004951766389674609,0.004512082023206631,0.004030325519021731,0.005424637994635627,-0.010176618780522829,0.0011140897949697957,-0.028952899309569968,-0.021313392423705845
2,0.2475148499888963,-0.008846942705030204,0.24760368258142132,0.35021343918835146,0.26211255,-0.011752770000000001,0.28938502,0.39068437000000006,0.0020556084820828853,0.0017991030528232057,0.001030745627182358,0.0017397870816759896,0.24750702374912437,-0.008846942705030204,0.2474993976049158,0.3501341842996366,0.2594388,-0.0068596,0.2789857,0.38112949,0.0022321340952351177,0.0023135113531887698,0.0019678853777595883,0.0025110406074618187,0.24749919750935248,-0.008846942705030204,0.2474993976049158,0.3501286520377842,0.25878498,-0.012753379999999998,0.28335479,0.38404420000000006,0.0028683128392372613,0.00180025502346504,0.0012309635907107692,0.0023370113008807742,0.24750702374912437,-0.008846942705030204,0.2474993976049158,0.3501341842996366,0.26430769,-0.007630050000000001,0.28148058,0.38623743,0.0017313442876979862,0.0013213809593880688,0.0019139678980705115,0.0022210937133188284,0.24750702374912437,-0.008846942705030204,0.24752546884904217,0.3501526149563522,0.261161005,-0.00974895,0.2833015225,0.38552387250000003,0.004520256678220825,0.0036845722092741728,0.003180181423198298,0.004441515858992035,-0.013653981250875625,0.0009020072949697949,-0.03577605365095784,-0.035371257543647824
3,0.1336900187460185,-0.008846942705030204,0.32331457552441184,0.349976576722025,0.14593804999999999,-0.0074025900000000006,0.3669609799999999,0.39508942999999996,0.002415033890825001,0.0017722845860921998,0.0015069595071460196,0.0014375366819706235,0.13395611089826392,-0.008846942705030204,0.32331457552441184,0.3500783095090935,0.14493231999999998,-0.00804786,0.36351469,0.39154575,0.002807569281298127,0.0021504840198946426,0.0013401715946060396,0.00193578450472211,0.13393263217894816,-0.008846942705030204,0.32331457552441184,0.3500693261400349,0.14458321000000002,-0.00992332,0.3639705999999999,0.39189192,0.002879546290166404,0.0015359092922290546,0.0014038208335349135,0.0011395111957716348,0.133948284658492,-0.008846942705030204,0.32331457552441184,0.35007531490339205,0.14847819,-0.006780069999999999,0.36679378999999995,0.39585175000000006,0.002168252789252212,0.0022314022165470554,0.0016070899495292037,0.0021390915542844613,0.13388176162043064,-0.008846942705030204,0.32331457552441184,0.3500498818186364,0.1459829425,-0.008038459999999999,0.365310015,0.3935947125,0.0051679726158749455,0.003886353995699425,0.002936058224509709,0.0034187675854952977,-0.012101180879569351,-0.0008084827050302057,-0.04199543947558815,-0.04354483068136363
4,2.190961994891216e-06,-0.008846942705030204,0.35001152950981895,0.35012331997430457,0.01135728,-0.008171340000000001,0.39408818000000007,0.39443495,0.0027246763443592916,0.0009347267864877832,0.001399015759564958,0.0012738924353030063,2.190961994891216e-06,-0.008846942705030204,0.35001152950981895,0.35012331997430457,0.0047727099999999995,-0.0063228699999999995,0.39179361,0.39203361999999997,0.0031867686440604165,0.0018109695883727895,0.0020350435971551633,0.0019099042675717731,1.0017201766816114e-05,-0.008846942705030204,0.35001152950981895,0.350123320110748,0.0034055299999999995,-0.012270119999999999,0.38957083,0.38998545,0.0029752792151344566,0.002947570449475673,0.0017340612065354284,0.0016284631221731081,1.0017201766816114e-05,-0.008846942705030204,0.35001152950981895,0.350123320110748,0.008778310000000001,-0.00848031,0.39207333,0.39237277000000004,0.0024468555669334745,0.0018380518738569077,0.0012463723130259965,0.001170997878549175,6.104081880853665e-06,-0.008846942705030204,0.35001152950981895,0.3501233200425263,0.0070784575,-0.008811160000000002,0.3918814875,0.3922066975,0.005693746055605414,0.004027397579206701,0.003264821549261494,0.0030485512001368047,-0.007072353418119147,-3.578270503020314e-05,-0.041869957990181075,-0.042083377457473724
5,-0.13396738145381798,-0.008846942705030204,0.32331457552441184,0.3500826222984361,-0.13441339,-0.00886004,0.35925808000000004,0.38373951999999995,0.0024863247439387763,0.0012839211876296943,0.0022291638094336817,0.0028089525981444094,-0.1339282502549584,-0.008846942705030204,0.32331457552441184,0.3500676496880445,-0.13286417,-0.005970779999999999,0.35996283999999995,0.38384079,0.002419529916145328,0.0021136463218702304,0.00249027154611255,0.0029200580587245544,-0.1339282502549584,-0.008846942705030204,0.32331457552441184,0.3500676496880445,-0.12744009,-0.01084242,0.36049004000000007,0.38256653999999995,0.002341237163289243,0.001418302596361032,0.0019438087906193102,0.0024920360755459033,-0.13395172897427415,-0.008846942705030204,0.32331457552441184,0.3500766328062387,-0.12888258000000002,-0.015919270000000003,0.36927286,0.39156672000000003,0.002069514297005728,0.0029949855563016587,0.0032752501253831313,0.003619837113732546,-0.13394390273450224,-0.008846942705030204,0.32331457552441184,0.3500736386201909,-0.13090005749999997,-0.0103981275,0.362245955,0.3854283925,0.004669070210194125,0.004134909325160589,0.005067176695259185,0.005977492642966801,-0.0030438452345022517,0.0015511847949697954,-0.0389313794755882,-0.03535475387980904
6,-0.24749481558536268,-0.008846942705030204,0.2474993976049158,0.35012555455386996,-0.25222202,-0.009857590000000001,0.27718074000000004,0.37495339000000005,0.0013484955839584952,0.0017953481484999565,0.0028677263323716564,0.0028214662886303947,-0.2474869893455908,-0.008846942705030204,0.2474993976049158,0.35012002242854784,-0.25336564,-0.01032872,0.27720525,0.3757548300000001,0.0020950787466080807,0.0020125684500602154,0.00245949782666887,0.0030237774052425813,-0.24749481558536268,-0.008846942705030204,0.2474993976049158,0.35012555455386996,-0.2533951,-0.015010319999999999,0.28082935,0.37861922,0.0015917063562939818,0.00211998477870846,0.002427358860812852,0.002651468832963678,-0.2474791631058188,-0.008846942705030204,0.2474993976049158,0.35011449039075593,-0.24727363999999996,-0.004374750000000001,0.271073,0.36699661,0.0011105785808607463,0.0017569768936854136,0.0021322755007008097,0.0020346050968431152,-0.24748894590553375,-0.008846942705030204,0.2474993976049158,0.3501214054817609,-0.25156409999999996,-0.009892845,0.27657208499999997,0.37408101250000003,0.0031582763025704043,0.0038542197663599827,0.004971081746141603,0.005317311979432002,0.004075154094466215,0.0010459022949697958,-0.029072687395084174,-0.023959607018239116
7,-0.3233310789753164,-0.008846942705030204,0.13393305819043003,0.35008473131916146,-0.32609398999999994,-0.0110596,0.15892206000000003,0.36298163000000006,0.0006882953912787424,0.0015323002168127645,0.001797348894294656,0.0012745394868605145,-0.3233310789753164,-0.008846942705030204,0.13393305819043003,0.35008473131916146,-0.33226129000000004,-0.007185769999999999,0.15624573,0.36730907999999995,0.0011715372396461743,0.0019406440827753843,0.0019223512856828908,0.0016824845230128543,-0.3233310789753164,-0.008846942705030204,0.13393305819043003,0.35008473131916146,-0.32824067,-0.01306394,0.15349527,0.36275580999999996,0.0013781690286632725,0.0031812103074563723,0.00193357380355364,0.001614221394525685,-0.3233232527355444,-0.008846942705030204,0.13393305819043003,0.35007750317745345,-0.32584028000000004,-0.01062383,0.15782403,0.3622506,0.0012204543511696341,0.0012576219947937014,0.0020146524435329604,0.001880821613432693,-0.32332912241537337,-0.008846942705030204,0.13393305819043003,0.35008292428373444,-0.32810905749999997,-0.010483285,0.1566217725,0.36382428,0.0022880360015499965,0.004220871416249388,0.00383711214788037,0.003255519271305956,0.004779935084626619,0.0016363422949697962,-0.02268871430956998,-0.013741355716265558
8,-0.35001073035780883,-0.008846942705030204,3.1148357372363934e-05,0.35012252245614395,-0.35525144,-0.007574160000000001,0.01543682,0.35573417999999996,0.000825302081826204,0.0017241825158092233,0.0015181240888236594,0.0008207389791861688,-0.35001073035780883,-0.008846942705030204,3.1148357372363934e-05,0.35012252245614395,-0.35775382999999994,-0.01105546,0.01680348,0.35840012000000004,0.000997231512967553,0.0017846242983515232,0.0018307325276936432,0.0010281670490948666,-0.35001855659758074,-0.008846942705030204,3.1148357372363934e-05,0.3501303461970986,-0.36105659,-0.01098841,0.01249808,0.36150463000000005,0.0010057017330589524,0.0016507585574483293,0.0015799754332689272,0.0010173777210773026,-0.35001855659758074,-0.008846942705030204,3.1148357372363934e-05,0.3501303461970986,-0.35155747,-0.00608587,0.0063489,0.35171970999999996,0.0011504035552844542,0.001572116716055141,0.00127252145330093,0.0011531943510142196,-0.3500146434776948,-0.008846942705030204,3.1148357372363934e-05,0.35012643432662127,-0.3564048325,-0.008925975,0.01277182,0.35683966,0.0020026129263068073,0.003369605914343364,0.0031260063269076517,0.002023772366486793,0.006390189022305215,7.903229496979552e-05,-0.012740671642627637,-0.0067132256733787084
9,-0.3233232527355444,-0.008846942705030204,-0.13397504645219077,0.3500935692448313,-0.32947486,-0.00655084,-0.12903601,0.35402648999999997,0.0022179537588206534,0.0031289171681518754,0.0011346957059004369,0.002496756944137735,-0.32333890521508823,-0.008846942705030204,-0.13397504645219077,0.3501080248905823,-0.33116964000000004,-0.010906770000000001,-0.13206934999999997,0.35674679,0.0012399314896127686,0.0010994209869088166,0.0016229735191411285,0.0012803446231776814,-0.32333890521508823,-0.008846942705030204,-0.13397504645219077,0.3501080248905823,-0.3302676299999999,-0.0016568900000000005,-0.12548206,0.3533981,0.0010729373740707164,0.00218177425390183,0.0014875715021619785,0.0009476616680604494,-0.3233310789753164,-0.008846942705030204,-0.13397504645219077,0.3501007970548411,-0.3258223,-0.00836381,-0.12834083,0.3503318,0.0008066321170287118,0.0014191846509293052,0.0011472441956512807,0.0007416579284878499,-0.3233330355352594,-0.008846942705030204,-0.13397504645219077,0.35010260402020926,-0.3291836075,-0.0068695775,-0.1287320625,0.35362579499999997,0.0028737778195434644,0.004215812272864309,0.0027295815809977595,0.003053063496260764,0.005850571964740636,-0.001977365205030204,-0.0052429839521907825,-0.0035231909797906803
10,-0.24750264182513462,-0.008846942705030204,-0.24754138586667662,0.35016076853702766,-0.24880577000000006,-0.00405542,-0.25196389,0.35419724,0.0014191062624099417,0.0016808648464274444,0.0014279267610731573,0.0011922737087132654,-0.2474869893455908,-0.008846942705030204,-0.24754138586667662,0.35014970513676796,-0.25436716000000004,-0.005135409999999999,-0.24600646999999992,0.35396048,0.0017124751054930192,0.0013607087419143825,0.0011246631173674507,0.0012752917611102027,-0.24750264182513462,-0.008846942705030204,-0.24754138586667662,0.35016076853702766,-0.25396381999999995,-0.005918919999999999,-0.24237567999999995,0.35123604999999997,0.0019366859246202589,0.002056313427514827,0.0016702687477568759,0.00098803155699153,-0.24749481558536268,-0.008846942705030204,-0.24754138586667662,0.35015523679313104,-0.24628555,-0.008273240000000001,-0.24381957999999998,0.34670411999999995,0.0011060387505015881,0.0013766453774947918,0.0009671524676768038,0.0007997831575287577,-0.2474967721453057,-0.008846942705030204,-0.24754138586667662,0.35015661975098855,-0.250855575,-0.0058457475,-0.246041405,0.35152447249999996,0.0031496837395487477,0.003286398076897157,0.0026512305723988255,0.002159570589057515,0.003358802854694343,-0.003001195205030204,-0.0014999808666766423,-0.001367852749011389
11,-0.1339282502549584,-0.008846942705030204,-0.3233565637861726,0.3501064294685003,-0.12803232,-0.00825749,-0.32998874,0.35414010999999995,0.001779835789791356,0.0014545790708769784,0.0018222485730669247,0.0013010895561840151,-0.1339282502549584,-0.008846942705030204,-0.3233565637861726,0.3501064294685003,-0.13320142000000001,-0.006092170000000001,-0.33235388,0.35824093000000007,0.0017939547295663105,0.0027049714822505776,0.0014831128473435694,0.0013690654416669307,-0.13392042401518647,-0.008846942705030204,-0.3233565637861726,0.35010343572612157,-0.13242848999999998,-0.01243583,-0.33052029000000005,0.35638957000000004,0.0021425794377312795,0.0018079615695307243,0.0013752878936143568,0.0010470443365387038,-0.1339282502549584,-0.008846942705030204,-0.3233565637861726,0.3501064294685003,-0.13065074,-0.00963898,-0.32567598000000003,0.35115777000000004,0.001974019453028093,0.0020354388123558134,0.0016251234638088973,0.001141575503713082,-0.1339262936950154,-0.008846942705030204,-0.3233565637861726,0.3501056810329056,-0.1310782425,-0.0091061175,-0.3296347225000001,0.354982095,0.0038566161927624807,0.004104193853726535,0.0031705924750658884,0.0024426769516522925,-0.002848051195015411,0.00025917479496979505,0.006278158713827464,-0.0048764139670943955
12,1.0017201766816114e-05,-0.008846942705030204,-0.3500535177715798,0.35016529496771687,0.00348759,-0.013101839999999998,-0.35562515999999994,0.35596057999999997,0.0017914669863581384,0.0017010810486406704,0.001285354738774045,0.0012883675744307008,1.0017201766816114e-05,-0.008846942705030204,-0.3500535177715798,0.35016529496771687,0.00682532,-0.013650140000000002,-0.35732907,0.35777758,0.0018997933185130075,0.0024812757775520776,0.0013656321557798763,0.0013686409038653384,1.0017201766816114e-05,-0.008846942705030204,-0.3500535177715798,0.35016529496771687,0.00472123,-0.01499986,-0.35585411999999994,0.3562854399999999,0.0009697024975676245,0.0023997303919028536,0.0008599651390608821,0.0008867482041707226,1.0017201766816114e-05,-0.008846942705030204,-0.3500535177715798,0.35016529496771687,0.00801258,-0.018495629999999996,-0.36005384,0.36067909,0.0015835571148384753,0.0016024638907389528,0.001915460630367768,0.001953575041384954,1.0017201766816114e-05,-0.008846942705030204,-0.3500535177715798,0.35016529496771687,0.00576168,-0.015061867499999998,-0.35721554749999995,0.3576756725,0.00320414492275587,0.0041685732203303755,0.0028152473170714107,0.002852340574072459,-0.005751662798233184,0.006214924794969793,0.007162029728420194,-0.007510377532283119
13,0.13393263217894816,-0.008846942705030204,-0.3233565637861726,0.35010810573479817,0.13679354,-0.015354709999999999,-0.32735307999999996,0.35522849,0.0013078952186369266,0.002790204052333011,0.0010733410782122247,0.001366519604481886,0.13393263217894816,-0.008846942705030204,-0.3233565637861726,0.35010810573479817,0.14318424999999999,-0.01576622,-0.3298509,0.3599817799999999,0.0019224962209036692,0.001455503805926548,0.0018320885998104875,0.002299172328846478,0.13392480593917622,-0.008846942705030204,-0.3233565637861726,0.3501051119087998,0.14013523,-0.015102540000000001,-0.32684383000000006,0.3559690999999999,0.0014307331148789091,0.0012060352478910205,0.0020870527503874924,0.002347064956351512,0.13395611089826392,-0.008846942705030204,-0.3233565637861726,0.3501170881088428,0.14089201,-0.0195112,-0.32719847999999996,0.35683676,0.0011929522066844648,0.0020461410851758113,0.0017310065889726313,0.001973868362221195,0.1339365452988341,-0.008846942705030204,-0.3233565637861726,0.3501096028718097,0.14025125749999998,-0.0164336675,-0.32781157250000004,0.3570040325,0.0029793814518733015,0.003942707742443285,0.003443948707762645,0.004069206242976359,-0.006314712201165884,0.007586724794969794,0.004455008713827402,-0.006894429628190313
14,0.2475226762286682,-0.008846942705030204,-0.24754138586667662,0.35017492965576946,0.25741376000000005,-0.01348471,-0.2416163,0.35336292999999996,0.0015520319231539313,0.0018536339740838203,0.0024880116707032465,0.0026889541529933197,0.2474835450298086,-0.008846942705030204,-0.24754138586667662,0.3501472706912654,0.25894527999999994,-0.013408609999999998,-0.25123386999999997,0.36108505,0.001078186197978398,0.0014747632329330394,0.0019544808729373047,0.0019121901623385808,0.24746006631049283,-0.008846942705030204,-0.24754138586667662,0.35013067636300377,0.2609520900000001,-0.01743957,-0.25179677000000006,0.36316502999999994,0.0013292733386202646,0.0029848095642603396,0.0018740059746762308,0.0021238029924354473,0.24749919750935248,-0.008846942705030204,-0.24754138586667662,0.35015833401447755,0.25814878,-0.014298010000000003,-0.24841377000000003,0.35861615,0.0011721006231738178,0.0019562952050836634,0.002280589051736416,0.0021781206871597705,0.24749137126958054,-0.008846942705030204,-0.24754138586667662,0.350152802681129,0.25886497750000004,-0.014657725000000002,-0.24826517750000004,0.35905729,0.002590767463052429,0.004283347355447865,0.004327029277952201,0.004487949925339584,-0.011373606230419497,0.005810782294969797,0.0007237916333234118,-0.008904487318870924
15,0.3233276346595342,-0.008846942705030204,-0.13397504645219077,0.35009761610388324,0.33734615,-0.00873992,-0.12520283000000001,0.36003195000000004,0.0013199634174434114,0.0016672917512341183,0.0022423630718532424,0.0013945048967086648,0.3233824183379377,-0.008846942705030204,-0.13387076147568527,0.3501083227565418,0.33868651,-0.01026979,-0.13048017,0.36317394999999997,0.0010058976892363908,0.0018416169808350487,0.0019291682105134211,0.0013701874336706184,0.32335893961862194,-0.008846942705030204,-0.13397504645219077,0.3501265275559285,0.33463481,-0.01393975,-0.12662534,0.35818519000000004,0.0009511721868246985,0.00231739722956836,0.0024287491128928435,0.0015525776116903868,0.32337459209816577,-0.008846942705030204,-0.13397504645219077,0.35014098343631217,0.33750459,-0.0098664,-0.12732844000000001,0.36099702,0.0008300484665166632,0.002608919350867967,0.0022582187850506323,0.0012354224437009403,0.3233608961785649,-0.008846942705030204,-0.1339489752080644,0.3501183624631664,0.337043015,-0.010703965000000001,-0.127409195,0.3605970275,0.002085148093147233,0.004283480475825444,0.0044439010413149386,0.002785466453765966,-0.013682118821435107,0.0018570222949697971,-0.006539780208064383,-0.010478665036833545
16,0.3499603286033951,-0.008846942705030204,3.1148357372363934e-05,0.3500721367970358,0.35678822,-0.00863688,0.0265117,0.35799978,0.0015555409259804121,0.0018856194437431486,0.002604223520062063,0.0017089779729937368,0.3500151122817986,-0.008846942705030204,3.1148357372363934e-05,0.3501269029810282,0.36154854,-0.01055064,0.02230251,0.36251103999999995,0.0014772092271276636,0.0022501985056730734,0.002253610797880198,0.0015884553637767421,0.35004641724088625,-0.008846942705030204,3.1148357372363934e-05,0.35015819794576697,0.35949399,-0.01068997,0.01857456,0.36026513000000004,0.0022135113008997943,0.002559612661063735,0.0021418583162602827,0.0023242650847119664,0.3499603286033951,-0.008846942705030204,3.1148357372363934e-05,0.3500721367970358,0.35949554,-0.01172476,0.016324070000000003,0.36012925999999995,0.0017456187947226312,0.001364291606512332,0.002025737058513107,0.001795672807748917,0.34999554668236876,-0.008846942705030204,3.1148357372363934e-05,0.3501073436302167,0.35933157250000003,-0.0104005625,0.020928210000000003,0.3602263025,0.0035424104687078683,0.004126967720231566,0.004533421384333617,0.0037510592065960364,-0.009336025817631243,0.0015536197949697962,-0.02089706164262764,-0.010118958869783246
